Extract Name	Protocol REF	Assay Name
SenT029.09	DNA Sequencing	SenT029.09 (DNA Sequencing)
SenT032.09	DNA Sequencing	SenT032.09 (DNA Sequencing)
SenT090.08	DNA Sequencing	SenT090.08 (DNA Sequencing)
SenT093.09	DNA Sequencing	SenT093.09 (DNA Sequencing)
SenT127.09	DNA Sequencing	SenT127.09 (DNA Sequencing)
SenT139.08	DNA Sequencing	SenT139.08 (DNA Sequencing)
SenT140.08	DNA Sequencing	SenT140.08 (DNA Sequencing)
SenT145.08	DNA Sequencing	SenT145.08 (DNA Sequencing)
SenT175.08	DNA Sequencing	SenT175.08 (DNA Sequencing)
SenT190.08	DNA Sequencing	SenT190.08 (DNA Sequencing)
SenT197.08	DNA Sequencing	SenT197.08 (DNA Sequencing)
SenT238.08	DNA Sequencing	SenT238.08 (DNA Sequencing)
SenT015.08	DNA Sequencing	SenT015.08 (DNA Sequencing)
SenT018.09	DNA Sequencing	SenT018.09 (DNA Sequencing)
SenT021.09	DNA Sequencing	SenT021.09 (DNA Sequencing)
SenT024.08	DNA Sequencing	SenT024.08 (DNA Sequencing)
SenT037.08	DNA Sequencing	SenT037.08 (DNA Sequencing)
SenT044.08	DNA Sequencing	SenT044.08 (DNA Sequencing)
SenT090.09	DNA Sequencing	SenT090.09 (DNA Sequencing)
SenT101.09	DNA Sequencing	SenT101.09 (DNA Sequencing)
SenT137.08	DNA Sequencing	SenT137.08 (DNA Sequencing)
SenT142.09	DNA Sequencing	SenT142.09 (DNA Sequencing)
SenT144.08	DNA Sequencing	SenT144.08 (DNA Sequencing)
SenT227.08	DNA Sequencing	SenT227.08 (DNA Sequencing)
SenT022.09	DNA Sequencing	SenT022.09 (DNA Sequencing)
SenT179.08	DNA Sequencing	SenT179.08 (DNA Sequencing)
SenT033.08	DNA Sequencing	SenT033.08 (DNA Sequencing)
SenT230.08	DNA Sequencing	SenT230.08 (DNA Sequencing)
SenT042.09	DNA Sequencing	SenT042.09 (DNA Sequencing)
SenT137.09	DNA Sequencing	SenT137.09 (DNA Sequencing)
SenT112.09	DNA Sequencing	SenT112.09 (DNA Sequencing)
SenT135.09	DNA Sequencing	SenT135.09 (DNA Sequencing)
SenT063.07	DNA Sequencing	SenT063.07 (DNA Sequencing)
SenT064.10	DNA Sequencing	SenT064.10 (DNA Sequencing)
SenT075.10	DNA Sequencing	SenT075.10 (DNA Sequencing)
SenT047.09	DNA Sequencing	SenT047.09 (DNA Sequencing)
SenT077.08	DNA Sequencing	SenT077.08 (DNA Sequencing)
SenT066.08	DNA Sequencing	SenT066.08 (DNA Sequencing)
SenT046.10	DNA Sequencing	SenT046.10 (DNA Sequencing)
SenT033.09	DNA Sequencing	SenT033.09 (DNA Sequencing)
SenT084.09	DNA Sequencing	SenT084.09 (DNA Sequencing)
SenT092.08	DNA Sequencing	SenT092.08 (DNA Sequencing)
SenT002.07	DNA Sequencing	SenT002.07 (DNA Sequencing)
SenT001.07	DNA Sequencing	SenT001.07 (DNA Sequencing)
SenT015.09	DNA Sequencing	SenT015.09 (DNA Sequencing)
SenT044.10	DNA Sequencing	SenT044.10 (DNA Sequencing)
SenT002.09	DNA Sequencing	SenT002.09 (DNA Sequencing)
SenT110.09	DNA Sequencing	SenT110.09 (DNA Sequencing)
SenT111.09	DNA Sequencing	SenT111.09 (DNA Sequencing)
SenT087.08	DNA Sequencing	SenT087.08 (DNA Sequencing)
SenT170.08	DNA Sequencing	SenT170.08 (DNA Sequencing)
SenT067.09	DNA Sequencing	SenT067.09 (DNA Sequencing)
SenT123.09	DNA Sequencing	SenT123.09 (DNA Sequencing)
SenT104.07	DNA Sequencing	SenT104.07 (DNA Sequencing)
SenT235.08	DNA Sequencing	SenT235.08 (DNA Sequencing)
SenT106.08	DNA Sequencing	SenT106.08 (DNA Sequencing)
SenT102.08	DNA Sequencing	SenT102.08 (DNA Sequencing)
SenT149.09	DNA Sequencing	SenT149.09 (DNA Sequencing)
SenT119.09	DNA Sequencing	SenT119.09 (DNA Sequencing)
SenT097.09	DNA Sequencing	SenT097.09 (DNA Sequencing)
SenT224.08	DNA Sequencing	SenT224.08 (DNA Sequencing)
SenT094.09	DNA Sequencing	SenT094.09 (DNA Sequencing)
SenT061.09	DNA Sequencing	SenT061.09 (DNA Sequencing)
SenT180.08	DNA Sequencing	SenT180.08 (DNA Sequencing)
SenT128.08	DNA Sequencing	SenT128.08 (DNA Sequencing)
SenT001.08	DNA Sequencing	SenT001.08 (DNA Sequencing)
SenT150.09	DNA Sequencing	SenT150.09 (DNA Sequencing)
SenT151.09	DNA Sequencing	SenT151.09 (DNA Sequencing)
SenT113.09	DNA Sequencing	SenT113.09 (DNA Sequencing)
