Sample Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Protocol REF	Data Transformation Name
Sample 7G8	DNA extraction	DNA Sequencing	7G8 DNASeq Assay	data collection	sequence analysis data transformation	7G8 (Sequence Variation)
Sample CS2	DNA extraction	DNA Sequencing	CS2 DNASeq Assay	data collection	sequence analysis data transformation	CS2 (Sequence Variation)
Sample GB4	DNA extraction	DNA Sequencing	GB4 DNASeq Assay	data collection	sequence analysis data transformation	GB4 (Sequence Variation)
Sample T9_94	DNA extraction	DNA Sequencing	T9_94 DNASeq Assay	data collection	sequence analysis data transformation	T9_94 (Sequence Variation)
Sample V1_S	DNA extraction	DNA Sequencing	V1_S DNASeq Assay	data collection	sequence analysis data transformation	V1_S (Sequence Variation)
Sample Dd2-2	DNA extraction	DNA Sequencing	Dd2-2 DNASeq Assay	data collection	sequence analysis data transformation	Dd2-2 (Sequence Variation)
Sample HB3	DNA extraction	DNA Sequencing	HB3 DNASeq Assay	data collection	sequence analysis data transformation	HB3 (Sequence Variation)
Sample IT	DNA extraction	DNA Sequencing	IT DNASeq Assay	data collection	sequence analysis data transformation	IT (Sequence Variation)
