Extract Name	Protocol Ref	Assay Name	Protocol Ref	Data Transformation Name
TgCkBrRj2 (DNA extract)	RFLP assay	TgCkBrRj2 (RFLP assay)	data transformation	TgCkBrRj2 (RFLPGenotype)
TgCkBrRj3 (DNA extract)	RFLP assay	TgCkBrRj3 (RFLP assay)	data transformation	TgCkBrRj3 (RFLPGenotype)
TgCkBrRj4 (DNA extract)	RFLP assay	TgCkBrRj4 (RFLP assay)	data transformation	TgCkBrRj4 (RFLPGenotype)
TgCkBrRj6 (DNA extract)	RFLP assay	TgCkBrRj6 (RFLP assay)	data transformation	TgCkBrRj6 (RFLPGenotype)
TgCkBrRj9 (DNA extract)	RFLP assay	TgCkBrRj9 (RFLP assay)	data transformation	TgCkBrRj9 (RFLPGenotype)
TgCkBrRj15 (DNA extract)	RFLP assay	TgCkBrRj15 (RFLP assay)	data transformation	TgCkBrRj15 (RFLPGenotype)
TgCkBrRj21 (DNA extract)	RFLP assay	TgCkBrRj21 (RFLP assay)	data transformation	TgCkBrRj21 (RFLPGenotype)
TgCkBrRj22 (DNA extract)	RFLP assay	TgCkBrRj22 (RFLP assay)	data transformation	TgCkBrRj22 (RFLPGenotype)
TgCkBrRj28 (DNA extract)	RFLP assay	TgCkBrRj28 (RFLP assay)	data transformation	TgCkBrRj28 (RFLPGenotype)
