Extract Name	Protocol Ref	Assay Name	Protocol Ref	Data Transformation Name
Tg17 (DNA extract)	RFLP assay	Tg17 (RFLP assay)	data transformation	Tg17 (RFLPGenotype)
NY5 (DNA extract)	RFLP assay	NY5 (RFLP assay)	data transformation	NY5 (RFLPGenotype)
NY19 (DNA extract)	RFLP assay	NY19 (RFLP assay)	data transformation	NY19 (RFLPGenotype)
NY11 (DNA extract)	RFLP assay	NY11 (RFLP assay)	data transformation	NY11 (RFLPGenotype)
NY8 (DNA extract)	RFLP assay	NY8 (RFLP assay)	data transformation	NY8 (RFLPGenotype)
NY13 (DNA extract)	RFLP assay	NY13 (RFLP assay)	data transformation	NY13 (RFLPGenotype)
GYS (DNA extract)	RFLP assay	GYS (RFLP assay)	data transformation	GYS (RFLPGenotype)
PYS (DNA extract)	RFLP assay	PYS (RFLP assay)	data transformation	PYS (RFLPGenotype)
ZC (DNA extract)	RFLP assay	ZC (RFLP assay)	data transformation	ZC (RFLPGenotype)
FS (DNA extract)	RFLP assay	FS (RFLP assay)	data transformation	FS (RFLPGenotype)
TgPxda (DNA extract)	RFLP assay	TgPxda (RFLP assay)	data transformation	TgPxda (RFLPGenotype)
TgPxdaTgPxdb1 (DNA extract)	RFLP assay	TgPxdaTgPxdb1 (RFLP assay)	data transformation	TgPxdaTgPxdb1 (RFLPGenotype)
CN (DNA extract)	RFLP assay	CN (RFLP assay)	data transformation	CN (RFLPGenotype)
NT (DNA extract)	RFLP assay	NT (RFLP assay)	data transformation	NT (RFLPGenotype)
TgPHs1 (DNA extract)	RFLP assay	TgPHs1 (RFLP assay)	data transformation	TgPHs1 (RFLPGenotype)
TgPXx (DNA extract)	RFLP assay	TgPXx (RFLP assay)	data transformation	TgPXx (RFLPGenotype)
TgPXd (DNA extract)	RFLP assay	TgPXd (RFLP assay)	data transformation	TgPXd (RFLPGenotype)
TgpNx (DNA extract)	RFLP assay	TgpNx (RFLP assay)	data transformation	TgpNx (RFLPGenotype)
TgPLh (DNA extract)	RFLP assay	TgPLh (RFLP assay)	data transformation	TgPLh (RFLPGenotype)
Tgpyh (DNA extract)	RFLP assay	Tgpyh (RFLP assay)	data transformation	Tgpyh (RFLPGenotype)
TgPNY (DNA extract)	RFLP assay	TgPNY (RFLP assay)	data transformation	TgPNY (RFLPGenotype)
TgPGZ (DNA extract)	RFLP assay	TgPGZ (RFLP assay)	data transformation	TgPGZ (RFLPGenotype)
TgSandcatQA1 (DNA extract)	RFLP assay	TgSandcatQA1 (RFLP assay)	data transformation	TgSandcatQA1 (RFLPGenotype)
TgSandcatUAE1 (DNA extract)	RFLP assay	TgSandcatUAE1 (RFLP assay)	data transformation	TgSandcatUAE1 (RFLPGenotype)
TgSandcatUAE3 (DNA extract)	RFLP assay	TgSandcatUAE3 (RFLP assay)	data transformation	TgSandcatUAE3 (RFLPGenotype)
QHO (DNA extract)	RFLP assay	QHO (RFLP assay)	data transformation	QHO (RFLPGenotype)
S10 (DNA extract)	RFLP assay	S10 (RFLP assay)	data transformation	S10 (RFLPGenotype)
TgDgAu3 (DNA extract)	RFLP assay	TgDgAu3 (RFLP assay)	data transformation	TgDgAu3 (RFLPGenotype)
Tg96 (DNA extract)	RFLP assay	Tg96 (RFLP assay)	data transformation	Tg96 (RFLPGenotype)
FR-93 (DNA extract)	RFLP assay	FR-93 (RFLP assay)	data transformation	FR-93 (RFLPGenotype)
TgCkIt3 (DNA extract)	RFLP assay	TgCkIt3 (RFLP assay)	data transformation	TgCkIt3 (RFLPGenotype)
TgCkIt1 (DNA extract)	RFLP assay	TgCkIt1 (RFLP assay)	data transformation	TgCkIt1 (RFLPGenotype)
TgCkIt2 (DNA extract)	RFLP assay	TgCkIt2 (RFLP assay)	data transformation	TgCkIt2 (RFLPGenotype)
TgCkPl1 (DNA extract)	RFLP assay	TgCkPl1 (RFLP assay)	data transformation	TgCkPl1 (RFLPGenotype)
TgCkPl2 (DNA extract)	RFLP assay	TgCkPl2 (RFLP assay)	data transformation	TgCkPl2 (RFLPGenotype)
TgFxSv13 (DNA extract)	RFLP assay	TgFxSv13 (RFLP assay)	data transformation	TgFxSv13 (RFLPGenotype)
TgFxSv38 (DNA extract)	RFLP assay	TgFxSv38 (RFLP assay)	data transformation	TgFxSv38 (RFLPGenotype)
TgFxSv62 (DNA extract)	RFLP assay	TgFxSv62 (RFLP assay)	data transformation	TgFxSv62 (RFLPGenotype)
TgFxSv70 (DNA extract)	RFLP assay	TgFxSv70 (RFLP assay)	data transformation	TgFxSv70 (RFLPGenotype)
TgFxSv93 (DNA extract)	RFLP assay	TgFxSv93 (RFLP assay)	data transformation	TgFxSv93 (RFLPGenotype)
TgFxSv105 (DNA extract)	RFLP assay	TgFxSv105 (RFLP assay)	data transformation	TgFxSv105 (RFLPGenotype)
TgFxSv107 (DNA extract)	RFLP assay	TgFxSv107 (RFLP assay)	data transformation	TgFxSv107 (RFLPGenotype)
TgFxSv114 (DNA extract)	RFLP assay	TgFxSv114 (RFLP assay)	data transformation	TgFxSv114 (RFLPGenotype)
TgFxSv169 (DNA extract)	RFLP assay	TgFxSv169 (RFLP assay)	data transformation	TgFxSv169 (RFLPGenotype)
TgFxSv176 (DNA extract)	RFLP assay	TgFxSv176 (RFLP assay)	data transformation	TgFxSv176 (RFLPGenotype)
TgFox (DNA extract)	RFLP assay	TgFox (RFLP assay)	data transformation	TgFox (RFLPGenotype)
TgFxSv81 (DNA extract)	RFLP assay	TgFxSv81 (RFLP assay)	data transformation	TgFxSv81 (RFLPGenotype)
TgFxSv83 (DNA extract)	RFLP assay	TgFxSv83 (RFLP assay)	data transformation	TgFxSv83 (RFLPGenotype)
TgFxSv121 (DNA extract)	RFLP assay	TgFxSv121 (RFLP assay)	data transformation	TgFxSv121 (RFLPGenotype)
TgFxSv144 (DNA extract)	RFLP assay	TgFxSv144 (RFLP assay)	data transformation	TgFxSv144 (RFLPGenotype)
TgFxSv19 (DNA extract)	RFLP assay	TgFxSv19 (RFLP assay)	data transformation	TgFxSv19 (RFLPGenotype)
TgFxSv27 (DNA extract)	RFLP assay	TgFxSv27 (RFLP assay)	data transformation	TgFxSv27 (RFLPGenotype)
TgFxSv42 (DNA extract)	RFLP assay	TgFxSv42 (RFLP assay)	data transformation	TgFxSv42 (RFLPGenotype)
TgFxSv43 (DNA extract)	RFLP assay	TgFxSv43 (RFLP assay)	data transformation	TgFxSv43 (RFLPGenotype)
TgFxSv48 (DNA extract)	RFLP assay	TgFxSv48 (RFLP assay)	data transformation	TgFxSv48 (RFLPGenotype)
TgFxSv50 (DNA extract)	RFLP assay	TgFxSv50 (RFLP assay)	data transformation	TgFxSv50 (RFLPGenotype)
TgFxSv61 (DNA extract)	RFLP assay	TgFxSv61 (RFLP assay)	data transformation	TgFxSv61 (RFLPGenotype)
TgFxSv64 (DNA extract)	RFLP assay	TgFxSv64 (RFLP assay)	data transformation	TgFxSv64 (RFLPGenotype)
TgFxSv87 (DNA extract)	RFLP assay	TgFxSv87 (RFLP assay)	data transformation	TgFxSv87 (RFLPGenotype)
TgFxSv106 (DNA extract)	RFLP assay	TgFxSv106 (RFLP assay)	data transformation	TgFxSv106 (RFLPGenotype)
TgFxSv120 (DNA extract)	RFLP assay	TgFxSv120 (RFLP assay)	data transformation	TgFxSv120 (RFLPGenotype)
TgFxSv136 (DNA extract)	RFLP assay	TgFxSv136 (RFLP assay)	data transformation	TgFxSv136 (RFLPGenotype)
TgFxSv140 (DNA extract)	RFLP assay	TgFxSv140 (RFLP assay)	data transformation	TgFxSv140 (RFLPGenotype)
TgFxSv148 (DNA extract)	RFLP assay	TgFxSv148 (RFLP assay)	data transformation	TgFxSv148 (RFLPGenotype)
TgFxSv175 (DNA extract)	RFLP assay	TgFxSv175 (RFLP assay)	data transformation	TgFxSv175 (RFLPGenotype)
TgFxSv177 (DNA extract)	RFLP assay	TgFxSv177 (RFLP assay)	data transformation	TgFxSv177 (RFLPGenotype)
TgFxSv178 (DNA extract)	RFLP assay	TgFxSv178 (RFLP assay)	data transformation	TgFxSv178 (RFLPGenotype)
MUC (DNA extract)	RFLP assay	MUC (RFLP assay)	data transformation	MUC (RFLPGenotype)
PSC (DNA extract)	RFLP assay	PSC (RFLP assay)	data transformation	PSC (RFLPGenotype)
3440 (DNA extract)	RFLP assay	3440 (RFLP assay)	data transformation	3440 (RFLPGenotype)
GJL (DNA extract)	RFLP assay	GJL (RFLP assay)	data transformation	GJL (RFLPGenotype)
COR (DNA extract)	RFLP assay	COR (RFLP assay)	data transformation	COR (RFLPGenotype)
LEG-NJA (DNA extract)	RFLP assay	LEG-NJA (RFLP assay)	data transformation	LEG-NJA (RFLPGenotype)
LGE97-3 (DNA extract)	RFLP assay	LGE97-3 (RFLP assay)	data transformation	LGE97-3 (RFLPGenotype)
AFI (DNA extract)	RFLP assay	AFI (RFLP assay)	data transformation	AFI (RFLPGenotype)
CHA (DNA extract)	RFLP assay	CHA (RFLP assay)	data transformation	CHA (RFLPGenotype)
FUN (DNA extract)	RFLP assay	FUN (RFLP assay)	data transformation	FUN (RFLPGenotype)
DEG (DNA extract)	RFLP assay	DEG (RFLP assay)	data transformation	DEG (RFLPGenotype)
Tg51 (DNA extract)	RFLP assay	Tg51 (RFLP assay)	data transformation	Tg51 (RFLPGenotype)
PRU (DNA extract)	RFLP assay	PRU (RFLP assay)	data transformation	PRU (RFLPGenotype)
RMS-MAU (DNA extract)	RFLP assay	RMS-MAU (RFLP assay)	data transformation	RMS-MAU (RFLPGenotype)
BOF (DNA extract)	RFLP assay	BOF (RFLP assay)	data transformation	BOF (RFLPGenotype)
GPHT (DNA extract)	RFLP assay	GPHT (RFLP assay)	data transformation	GPHT (RFLPGenotype)
FOU (DNA extract)	RFLP assay	FOU (RFLP assay)	data transformation	FOU (RFLPGenotype)
ENT (DNA extract)	RFLP assay	ENT (RFLP assay)	data transformation	ENT (RFLPGenotype)
MOR (DNA extract)	RFLP assay	MOR (RFLP assay)	data transformation	MOR (RFLPGenotype)
BK (DNA extract)	RFLP assay	BK (RFLP assay)	data transformation	BK (RFLPGenotype)
P (DNA extract)	RFLP assay	P (RFLP assay)	data transformation	P (RFLPGenotype)
PiL (DNA extract)	RFLP assay	PiL (RFLP assay)	data transformation	PiL (RFLPGenotype)
GiL (DNA extract)	RFLP assay	GiL (RFLP assay)	data transformation	GiL (RFLPGenotype)
MAS (DNA extract)	RFLP assay	MAS (RFLP assay)	data transformation	MAS (RFLPGenotype)
IPP-URB (DNA extract)	RFLP assay	IPP-URB (RFLP assay)	data transformation	IPP-URB (RFLPGenotype)
LGE-2007-CUV (DNA extract)	RFLP assay	LGE-2007-CUV (RFLP assay)	data transformation	LGE-2007-CUV (RFLPGenotype)
BEV (DNA extract)	RFLP assay	BEV (RFLP assay)	data transformation	BEV (RFLPGenotype)
B70 (DNA extract)	RFLP assay	B70 (RFLP assay)	data transformation	B70 (RFLPGenotype)
TgBbPa3 (DNA extract)	RFLP assay	TgBbPa3 (RFLP assay)	data transformation	TgBbPa3 (RFLPGenotype)
TgBbPa5 (DNA extract)	RFLP assay	TgBbPa5 (RFLP assay)	data transformation	TgBbPa5 (RFLPGenotype)
B74 (DNA extract)	RFLP assay	B74 (RFLP assay)	data transformation	B74 (RFLPGenotype)
TgBbPa1 (DNA extract)	RFLP assay	TgBbPa1 (RFLP assay)	data transformation	TgBbPa1 (RFLPGenotype)
TgBbPa4 (DNA extract)	RFLP assay	TgBbPa4 (RFLP assay)	data transformation	TgBbPa4 (RFLPGenotype)
B41 (DNA extract)	RFLP assay	B41 (RFLP assay)	data transformation	B41 (RFLPGenotype)
TgBbPa2 (DNA extract)	RFLP assay	TgBbPa2 (RFLP assay)	data transformation	TgBbPa2 (RFLPGenotype)
TgBbAk1 (DNA extract)	RFLP assay	TgBbAk1 (RFLP assay)	data transformation	TgBbAk1 (RFLPGenotype)
TgBBeCa1 (DNA extract)	RFLP assay	TgBBeCa1 (RFLP assay)	data transformation	TgBBeCa1 (RFLPGenotype)
B73 (DNA extract)	RFLP assay	B73 (RFLP assay)	data transformation	B73 (RFLPGenotype)
TgBbUS1 (DNA extract)	RFLP assay	TgBbUS1 (RFLP assay)	data transformation	TgBbUS1 (RFLPGenotype)
TgCatGa1 (DNA extract)	RFLP assay	TgCatGa1 (RFLP assay)	data transformation	TgCatGa1 (RFLPGenotype)
TgCatGa2 (DNA extract)	RFLP assay	TgCatGa2 (RFLP assay)	data transformation	TgCatGa2 (RFLPGenotype)
TgCatGa3 (DNA extract)	RFLP assay	TgCatGa3 (RFLP assay)	data transformation	TgCatGa3 (RFLPGenotype)
TgCatGa4 (DNA extract)	RFLP assay	TgCatGa4 (RFLP assay)	data transformation	TgCatGa4 (RFLPGenotype)
C980 (DNA extract)	RFLP assay	C980 (RFLP assay)	data transformation	C980 (RFLPGenotype)
TgCatUs1 (DNA extract)	RFLP assay	TgCatUs1 (RFLP assay)	data transformation	TgCatUs1 (RFLPGenotype)
CTG (DNA extract)	RFLP assay	CTG (RFLP assay)	data transformation	CTG (RFLPGenotype)
F958 (DNA extract)	RFLP assay	F958 (RFLP assay)	data transformation	F958 (RFLPGenotype)
TgCatUs8 (DNA extract)	RFLP assay	TgCatUs8 (RFLP assay)	data transformation	TgCatUs8 (RFLPGenotype)
TgCatUs2 (DNA extract)	RFLP assay	TgCatUs2 (RFLP assay)	data transformation	TgCatUs2 (RFLPGenotype)
TgCatUs3 (DNA extract)	RFLP assay	TgCatUs3 (RFLP assay)	data transformation	TgCatUs3 (RFLPGenotype)
TgCatUs4 (DNA extract)	RFLP assay	TgCatUs4 (RFLP assay)	data transformation	TgCatUs4 (RFLPGenotype)
TgCatUs5 (DNA extract)	RFLP assay	TgCatUs5 (RFLP assay)	data transformation	TgCatUs5 (RFLPGenotype)
TgCatUs6 (DNA extract)	RFLP assay	TgCatUs6 (RFLP assay)	data transformation	TgCatUs6 (RFLPGenotype)
TgCatCa2 (DNA extract)	RFLP assay	TgCatCa2 (RFLP assay)	data transformation	TgCatCa2 (RFLPGenotype)
TgCatMs1 (DNA extract)	RFLP assay	TgCatMs1 (RFLP assay)	data transformation	TgCatMs1 (RFLPGenotype)
TgCatUs7 (DNA extract)	RFLP assay	TgCatUs7 (RFLP assay)	data transformation	TgCatUs7 (RFLPGenotype)
TgCatCa1 (DNA extract)	RFLP assay	TgCatCa1 (RFLP assay)	data transformation	TgCatCa1 (RFLPGenotype)
TgCkUsIL1 (DNA extract)	RFLP assay	TgCkUsIL1 (RFLP assay)	data transformation	TgCkUsIL1 (RFLPGenotype)
TgCkUsIL2 (DNA extract)	RFLP assay	TgCkUsIL2 (RFLP assay)	data transformation	TgCkUsIL2 (RFLPGenotype)
TgCkUsIL3 (DNA extract)	RFLP assay	TgCkUsIL3 (RFLP assay)	data transformation	TgCkUsIL3 (RFLPGenotype)
TgCkUsIL4 (DNA extract)	RFLP assay	TgCkUsIL4 (RFLP assay)	data transformation	TgCkUsIL4 (RFLPGenotype)
TgCkUsIL5 (DNA extract)	RFLP assay	TgCkUsIL5 (RFLP assay)	data transformation	TgCkUsIL5 (RFLPGenotype)
TgCkUsIL6 (DNA extract)	RFLP assay	TgCkUsIL6 (RFLP assay)	data transformation	TgCkUsIL6 (RFLPGenotype)
TgCkUsIL7 (DNA extract)	RFLP assay	TgCkUsIL7 (RFLP assay)	data transformation	TgCkUsIL7 (RFLPGenotype)
TgCkUsIL8 (DNA extract)	RFLP assay	TgCkUsIL8 (RFLP assay)	data transformation	TgCkUsIL8 (RFLPGenotype)
TgCkUsIL9 (DNA extract)	RFLP assay	TgCkUsIL9 (RFLP assay)	data transformation	TgCkUsIL9 (RFLPGenotype)
TgCkUsIL10 (DNA extract)	RFLP assay	TgCkUsIL10 (RFLP assay)	data transformation	TgCkUsIL10 (RFLPGenotype)
TgCkUsIL11 (DNA extract)	RFLP assay	TgCkUsIL11 (RFLP assay)	data transformation	TgCkUsIL11 (RFLPGenotype)
C37 (DNA extract)	RFLP assay	C37 (RFLP assay)	data transformation	C37 (RFLPGenotype)
C56 (DNA extract)	RFLP assay	C56 (RFLP assay)	data transformation	C56 (RFLPGenotype)
TgCgCa1 (DNA extract)	RFLP assay	TgCgCa1 (RFLP assay)	data transformation	TgCgCa1 (RFLPGenotype)
TgCgCa2 (DNA extract)	RFLP assay	TgCgCa2 (RFLP assay)	data transformation	TgCgCa2 (RFLPGenotype)
CT-1 (DNA extract)	RFLP assay	CT-1 (RFLP assay)	data transformation	CT-1 (RFLPGenotype)
TgCyW4 (DNA extract)	RFLP assay	TgCyW4 (RFLP assay)	data transformation	TgCyW4 (RFLPGenotype)
TgCyW5 (DNA extract)	RFLP assay	TgCyW5 (RFLP assay)	data transformation	TgCyW5 (RFLPGenotype)
TgCoGa1 (DNA extract)	RFLP assay	TgCoGa1 (RFLP assay)	data transformation	TgCoGa1 (RFLPGenotype)
TgCoWI1 (DNA extract)	RFLP assay	TgCoWI1 (RFLP assay)	data transformation	TgCoWI1 (RFLPGenotype)
TgCyW3 (DNA extract)	RFLP assay	TgCyW3 (RFLP assay)	data transformation	TgCyW3 (RFLPGenotype)
TgCyW1 (DNA extract)	RFLP assay	TgCyW1 (RFLP assay)	data transformation	TgCyW1 (RFLPGenotype)
TgCyW2 (DNA extract)	RFLP assay	TgCyW2 (RFLP assay)	data transformation	TgCyW2 (RFLPGenotype)
TgCyW6 (DNA extract)	RFLP assay	TgCyW6 (RFLP assay)	data transformation	TgCyW6 (RFLPGenotype)
TgHcUS1 (DNA extract)	RFLP assay	TgHcUS1 (RFLP assay)	data transformation	TgHcUS1 (RFLPGenotype)
TgHcUS2 (DNA extract)	RFLP assay	TgHcUS2 (RFLP assay)	data transformation	TgHcUS2 (RFLPGenotype)
TgWtdUs1 (DNA extract)	RFLP assay	TgWtdUs1 (RFLP assay)	data transformation	TgWtdUs1 (RFLPGenotype)
TgWtdUs3 (DNA extract)	RFLP assay	TgWtdUs3 (RFLP assay)	data transformation	TgWtdUs3 (RFLPGenotype)
TgWtdUs4 (DNA extract)	RFLP assay	TgWtdUs4 (RFLP assay)	data transformation	TgWtdUs4 (RFLPGenotype)
TgWtdUs5 (DNA extract)	RFLP assay	TgWtdUs5 (RFLP assay)	data transformation	TgWtdUs5 (RFLPGenotype)
TgWtdUs13 (DNA extract)	RFLP assay	TgWtdUs13 (RFLP assay)	data transformation	TgWtdUs13 (RFLPGenotype)
TgWtdUs15 (DNA extract)	RFLP assay	TgWtdUs15 (RFLP assay)	data transformation	TgWtdUs15 (RFLPGenotype)
TgWtdUs32 (DNA extract)	RFLP assay	TgWtdUs32 (RFLP assay)	data transformation	TgWtdUs32 (RFLPGenotype)
TgWtdUs7 (DNA extract)	RFLP assay	TgWtdUs7 (RFLP assay)	data transformation	TgWtdUs7 (RFLPGenotype)
TgWtdUs9 (DNA extract)	RFLP assay	TgWtdUs9 (RFLP assay)	data transformation	TgWtdUs9 (RFLPGenotype)
TgWtdUs11 (DNA extract)	RFLP assay	TgWtdUs11 (RFLP assay)	data transformation	TgWtdUs11 (RFLPGenotype)
TgWtdUs12 (DNA extract)	RFLP assay	TgWtdUs12 (RFLP assay)	data transformation	TgWtdUs12 (RFLPGenotype)
TgWtdUs14 (DNA extract)	RFLP assay	TgWtdUs14 (RFLP assay)	data transformation	TgWtdUs14 (RFLPGenotype)
TgWtdUs2 (DNA extract)	RFLP assay	TgWtdUs2 (RFLP assay)	data transformation	TgWtdUs2 (RFLPGenotype)
TgWtdUs6 (DNA extract)	RFLP assay	TgWtdUs6 (RFLP assay)	data transformation	TgWtdUs6 (RFLPGenotype)
TgWtdUs16 (DNA extract)	RFLP assay	TgWtdUs16 (RFLP assay)	data transformation	TgWtdUs16 (RFLPGenotype)
TgWtdUs17 (DNA extract)	RFLP assay	TgWtdUs17 (RFLP assay)	data transformation	TgWtdUs17 (RFLPGenotype)
TgWtdUs18 (DNA extract)	RFLP assay	TgWtdUs18 (RFLP assay)	data transformation	TgWtdUs18 (RFLPGenotype)
TgWtdUs19 (DNA extract)	RFLP assay	TgWtdUs19 (RFLP assay)	data transformation	TgWtdUs19 (RFLPGenotype)
TgWtdUs20 (DNA extract)	RFLP assay	TgWtdUs20 (RFLP assay)	data transformation	TgWtdUs20 (RFLPGenotype)
TgWtdUs22 (DNA extract)	RFLP assay	TgWtdUs22 (RFLP assay)	data transformation	TgWtdUs22 (RFLPGenotype)
TgWtdUs23 (DNA extract)	RFLP assay	TgWtdUs23 (RFLP assay)	data transformation	TgWtdUs23 (RFLPGenotype)
TgWtdUs24 (DNA extract)	RFLP assay	TgWtdUs24 (RFLP assay)	data transformation	TgWtdUs24 (RFLPGenotype)
TgWtdUs26 (DNA extract)	RFLP assay	TgWtdUs26 (RFLP assay)	data transformation	TgWtdUs26 (RFLPGenotype)
TgWtdUs27 (DNA extract)	RFLP assay	TgWtdUs27 (RFLP assay)	data transformation	TgWtdUs27 (RFLPGenotype)
TgWtdUs28 (DNA extract)	RFLP assay	TgWtdUs28 (RFLP assay)	data transformation	TgWtdUs28 (RFLPGenotype)
TgWtdUs29 (DNA extract)	RFLP assay	TgWtdUs29 (RFLP assay)	data transformation	TgWtdUs29 (RFLPGenotype)
TgWtdUs30 (DNA extract)	RFLP assay	TgWtdUs30 (RFLP assay)	data transformation	TgWtdUs30 (RFLPGenotype)
TgWtdUs31 (DNA extract)	RFLP assay	TgWtdUs31 (RFLP assay)	data transformation	TgWtdUs31 (RFLPGenotype)
TgWtdUs33 (DNA extract)	RFLP assay	TgWtdUs33 (RFLP assay)	data transformation	TgWtdUs33 (RFLPGenotype)
TgWtdUs34 (DNA extract)	RFLP assay	TgWtdUs34 (RFLP assay)	data transformation	TgWtdUs34 (RFLPGenotype)
TgWtdUs35 (DNA extract)	RFLP assay	TgWtdUs35 (RFLP assay)	data transformation	TgWtdUs35 (RFLPGenotype)
TgWtdUs36 (DNA extract)	RFLP assay	TgWtdUs36 (RFLP assay)	data transformation	TgWtdUs36 (RFLPGenotype)
WTD-1 (DNA extract)	RFLP assay	WTD-1 (RFLP assay)	data transformation	WTD-1 (RFLPGenotype)
WTD-3 (DNA extract)	RFLP assay	WTD-3 (RFLP assay)	data transformation	WTD-3 (RFLPGenotype)
TgWtdUs10 (DNA extract)	RFLP assay	TgWtdUs10 (RFLP assay)	data transformation	TgWtdUs10 (RFLPGenotype)
TgWtdUs8 (DNA extract)	RFLP assay	TgWtdUs8 (RFLP assay)	data transformation	TgWtdUs8 (RFLPGenotype)
TgDoUs2 (DNA extract)	RFLP assay	TgDoUs2 (RFLP assay)	data transformation	TgDoUs2 (RFLPGenotype)
TgDoUs3 (DNA extract)	RFLP assay	TgDoUs3 (RFLP assay)	data transformation	TgDoUs3 (RFLPGenotype)
TgDoUS5 (DNA extract)	RFLP assay	TgDoUS5 (RFLP assay)	data transformation	TgDoUS5 (RFLPGenotype)
TgDoCA1 (DNA extract)	RFLP assay	TgDoCA1 (RFLP assay)	data transformation	TgDoCA1 (RFLPGenotype)
TgDoUS4 (DNA extract)	RFLP assay	TgDoUS4 (RFLP assay)	data transformation	TgDoUS4 (RFLPGenotype)
TgDoUS6 (DNA extract)	RFLP assay	TgDoUS6 (RFLP assay)	data transformation	TgDoUS6 (RFLPGenotype)
TgDoUs1 (DNA extract)	RFLP assay	TgDoUs1 (RFLP assay)	data transformation	TgDoUs1 (RFLPGenotype)
TgHlUs1 (DNA extract)	RFLP assay	TgHlUs1 (RFLP assay)	data transformation	TgHlUs1 (RFLPGenotype)
TgVaUS2 (DNA extract)	RFLP assay	TgVaUS2 (RFLP assay)	data transformation	TgVaUS2 (RFLPGenotype)
TgVaUS4 (DNA extract)	RFLP assay	TgVaUS4 (RFLP assay)	data transformation	TgVaUS4 (RFLPGenotype)
TgVaUS6 (DNA extract)	RFLP assay	TgVaUS6 (RFLP assay)	data transformation	TgVaUS6 (RFLPGenotype)
TgVvUS1 (DNA extract)	RFLP assay	TgVvUS1 (RFLP assay)	data transformation	TgVvUS1 (RFLPGenotype)
TgVaUS3 (DNA extract)	RFLP assay	TgVaUS3 (RFLP assay)	data transformation	TgVaUS3 (RFLPGenotype)
TgVaUS5 (DNA extract)	RFLP assay	TgVaUS5 (RFLP assay)	data transformation	TgVaUS5 (RFLPGenotype)
TgVaUS1 (DNA extract)	RFLP assay	TgVaUS1 (RFLP assay)	data transformation	TgVaUS1 (RFLPGenotype)
TgGoatUS1 (DNA extract)	RFLP assay	TgGoatUS1 (RFLP assay)	data transformation	TgGoatUS1 (RFLPGenotype)
TgGoatUS11 (DNA extract)	RFLP assay	TgGoatUS11 (RFLP assay)	data transformation	TgGoatUS11 (RFLPGenotype)
TgGoatUS12 (DNA extract)	RFLP assay	TgGoatUS12 (RFLP assay)	data transformation	TgGoatUS12 (RFLPGenotype)
TgGoatUS14 (DNA extract)	RFLP assay	TgGoatUS14 (RFLP assay)	data transformation	TgGoatUS14 (RFLPGenotype)
TgGoatUS15 (DNA extract)	RFLP assay	TgGoatUS15 (RFLP assay)	data transformation	TgGoatUS15 (RFLPGenotype)
TgGoatUS16 (DNA extract)	RFLP assay	TgGoatUS16 (RFLP assay)	data transformation	TgGoatUS16 (RFLPGenotype)
TgGoatUS18 (DNA extract)	RFLP assay	TgGoatUS18 (RFLP assay)	data transformation	TgGoatUS18 (RFLPGenotype)
TgGoatUS19 (DNA extract)	RFLP assay	TgGoatUS19 (RFLP assay)	data transformation	TgGoatUS19 (RFLPGenotype)
TgGoatUS21 (DNA extract)	RFLP assay	TgGoatUS21 (RFLP assay)	data transformation	TgGoatUS21 (RFLPGenotype)
TgGoatUS4 (DNA extract)	RFLP assay	TgGoatUS4 (RFLP assay)	data transformation	TgGoatUS4 (RFLPGenotype)
TgGoatUS10 (DNA extract)	RFLP assay	TgGoatUS10 (RFLP assay)	data transformation	TgGoatUS10 (RFLPGenotype)
TgGoatUS23 (DNA extract)	RFLP assay	TgGoatUS23 (RFLP assay)	data transformation	TgGoatUS23 (RFLPGenotype)
TgGoatUS29 (DNA extract)	RFLP assay	TgGoatUS29 (RFLP assay)	data transformation	TgGoatUS29 (RFLPGenotype)
TgGoatUS2 (DNA extract)	RFLP assay	TgGoatUS2 (RFLP assay)	data transformation	TgGoatUS2 (RFLPGenotype)
TgGoatUS9 (DNA extract)	RFLP assay	TgGoatUS9 (RFLP assay)	data transformation	TgGoatUS9 (RFLPGenotype)
TgGoatUS22 (DNA extract)	RFLP assay	TgGoatUS22 (RFLP assay)	data transformation	TgGoatUS22 (RFLPGenotype)
TgGoatUS27 (DNA extract)	RFLP assay	TgGoatUS27 (RFLP assay)	data transformation	TgGoatUS27 (RFLPGenotype)
TgGoatUS13 (DNA extract)	RFLP assay	TgGoatUS13 (RFLP assay)	data transformation	TgGoatUS13 (RFLPGenotype)
TgGoatUS17 (DNA extract)	RFLP assay	TgGoatUS17 (RFLP assay)	data transformation	TgGoatUS17 (RFLPGenotype)
TgGoatUS24 (DNA extract)	RFLP assay	TgGoatUS24 (RFLP assay)	data transformation	TgGoatUS24 (RFLPGenotype)
TgGoatUS25 (DNA extract)	RFLP assay	TgGoatUS25 (RFLP assay)	data transformation	TgGoatUS25 (RFLPGenotype)
TgGoatUS28 (DNA extract)	RFLP assay	TgGoatUS28 (RFLP assay)	data transformation	TgGoatUS28 (RFLPGenotype)
GT1 (DNA extract)	RFLP assay	GT1 (RFLP assay)	data transformation	GT1 (RFLPGenotype)
TgGoatUS7 (DNA extract)	RFLP assay	TgGoatUS7 (RFLP assay)	data transformation	TgGoatUS7 (RFLPGenotype)
TgGoatUS6 (DNA extract)	RFLP assay	TgGoatUS6 (RFLP assay)	data transformation	TgGoatUS6 (RFLPGenotype)
