Extract Name	Protocol Ref	Assay Name	Protocol Ref	Data Transformation Name
TgCatEg_8 (DNA extract)	RFLP assay	TgCatEg_8 (RFLP assay)	data transformation	TgCatEg_8 (RFLPGenotype)
TgCatEg_9 (DNA extract)	RFLP assay	TgCatEg_9 (RFLP assay)	data transformation	TgCatEg_9 (RFLPGenotype)
TgCatEg_10 (DNA extract)	RFLP assay	TgCatEg_10 (RFLP assay)	data transformation	TgCatEg_10 (RFLPGenotype)
TgCatEg_12 (DNA extract)	RFLP assay	TgCatEg_12 (RFLP assay)	data transformation	TgCatEg_12 (RFLPGenotype)
TgCatEg_14 (DNA extract)	RFLP assay	TgCatEg_14 (RFLP assay)	data transformation	TgCatEg_14 (RFLPGenotype)
TgCatEg_16 (DNA extract)	RFLP assay	TgCatEg_16 (RFLP assay)	data transformation	TgCatEg_16 (RFLPGenotype)
TgCatEg_20 (DNA extract)	RFLP assay	TgCatEg_20 (RFLP assay)	data transformation	TgCatEg_20 (RFLPGenotype)
TgCatEg_21 (DNA extract)	RFLP assay	TgCatEg_21 (RFLP assay)	data transformation	TgCatEg_21 (RFLPGenotype)
TgCatEg_23 (DNA extract)	RFLP assay	TgCatEg_23 (RFLP assay)	data transformation	TgCatEg_23 (RFLPGenotype)
TgCatEg_25 (DNA extract)	RFLP assay	TgCatEg_25 (RFLP assay)	data transformation	TgCatEg_25 (RFLPGenotype)
TgCatEg_26 (DNA extract)	RFLP assay	TgCatEg_26 (RFLP assay)	data transformation	TgCatEg_26 (RFLPGenotype)
TgCatEg_28 (DNA extract)	RFLP assay	TgCatEg_28 (RFLP assay)	data transformation	TgCatEg_28 (RFLPGenotype)
TgCatEg_29 (DNA extract)	RFLP assay	TgCatEg_29 (RFLP assay)	data transformation	TgCatEg_29 (RFLPGenotype)
TgCatEg_30 (DNA extract)	RFLP assay	TgCatEg_30 (RFLP assay)	data transformation	TgCatEg_30 (RFLPGenotype)
TgCatEg_31 (DNA extract)	RFLP assay	TgCatEg_31 (RFLP assay)	data transformation	TgCatEg_31 (RFLPGenotype)
TgCatEg_32 (DNA extract)	RFLP assay	TgCatEg_32 (RFLP assay)	data transformation	TgCatEg_32 (RFLPGenotype)
TgCatEg_33 (DNA extract)	RFLP assay	TgCatEg_33 (RFLP assay)	data transformation	TgCatEg_33 (RFLPGenotype)
TgCatEg_38 (DNA extract)	RFLP assay	TgCatEg_38 (RFLP assay)	data transformation	TgCatEg_38 (RFLPGenotype)
TgCatEg_39 (DNA extract)	RFLP assay	TgCatEg_39 (RFLP assay)	data transformation	TgCatEg_39 (RFLPGenotype)
TgCatEg_41 (DNA extract)	RFLP assay	TgCatEg_41 (RFLP assay)	data transformation	TgCatEg_41 (RFLPGenotype)
TgCatEg_42 (DNA extract)	RFLP assay	TgCatEg_42 (RFLP assay)	data transformation	TgCatEg_42 (RFLPGenotype)
TgCatEg_44 (DNA extract)	RFLP assay	TgCatEg_44 (RFLP assay)	data transformation	TgCatEg_44 (RFLPGenotype)
TgCatEg_45 (DNA extract)	RFLP assay	TgCatEg_45 (RFLP assay)	data transformation	TgCatEg_45 (RFLPGenotype)
TgCatEg_46 (DNA extract)	RFLP assay	TgCatEg_46 (RFLP assay)	data transformation	TgCatEg_46 (RFLPGenotype)
TgCatEg_49 (DNA extract)	RFLP assay	TgCatEg_49 (RFLP assay)	data transformation	TgCatEg_49 (RFLPGenotype)
TgCatEg_51 (DNA extract)	RFLP assay	TgCatEg_51 (RFLP assay)	data transformation	TgCatEg_51 (RFLPGenotype)
TgCatEg_52 (DNA extract)	RFLP assay	TgCatEg_52 (RFLP assay)	data transformation	TgCatEg_52 (RFLPGenotype)
TgCatEg_54 (DNA extract)	RFLP assay	TgCatEg_54 (RFLP assay)	data transformation	TgCatEg_54 (RFLPGenotype)
TgCatEg_56 (DNA extract)	RFLP assay	TgCatEg_56 (RFLP assay)	data transformation	TgCatEg_56 (RFLPGenotype)
TgCatEg_59 (DNA extract)	RFLP assay	TgCatEg_59 (RFLP assay)	data transformation	TgCatEg_59 (RFLPGenotype)
TgCatEg_60 (DNA extract)	RFLP assay	TgCatEg_60 (RFLP assay)	data transformation	TgCatEg_60 (RFLPGenotype)
TgCatEg_63 (DNA extract)	RFLP assay	TgCatEg_63 (RFLP assay)	data transformation	TgCatEg_63 (RFLPGenotype)
TgCatEg_64 (DNA extract)	RFLP assay	TgCatEg_64 (RFLP assay)	data transformation	TgCatEg_64 (RFLPGenotype)
TgCatEg_68 (DNA extract)	RFLP assay	TgCatEg_68 (RFLP assay)	data transformation	TgCatEg_68 (RFLPGenotype)
TgCatEg_75 (DNA extract)	RFLP assay	TgCatEg_75 (RFLP assay)	data transformation	TgCatEg_75 (RFLPGenotype)
TgCatEg_76 (DNA extract)	RFLP assay	TgCatEg_76 (RFLP assay)	data transformation	TgCatEg_76 (RFLPGenotype)
TgCatEg_77 (DNA extract)	RFLP assay	TgCatEg_77 (RFLP assay)	data transformation	TgCatEg_77 (RFLPGenotype)
TgCatEg_78 (DNA extract)	RFLP assay	TgCatEg_78 (RFLP assay)	data transformation	TgCatEg_78 (RFLPGenotype)
TgCatEg_79 (DNA extract)	RFLP assay	TgCatEg_79 (RFLP assay)	data transformation	TgCatEg_79 (RFLPGenotype)
TgCatEg_81 (DNA extract)	RFLP assay	TgCatEg_81 (RFLP assay)	data transformation	TgCatEg_81 (RFLPGenotype)
TgCatEg_85 (DNA extract)	RFLP assay	TgCatEg_85 (RFLP assay)	data transformation	TgCatEg_85 (RFLPGenotype)
TgCatEg_90 (DNA extract)	RFLP assay	TgCatEg_90 (RFLP assay)	data transformation	TgCatEg_90 (RFLPGenotype)
TgCatEg_91 (DNA extract)	RFLP assay	TgCatEg_91 (RFLP assay)	data transformation	TgCatEg_91 (RFLPGenotype)
TgCatEg_96 (DNA extract)	RFLP assay	TgCatEg_96 (RFLP assay)	data transformation	TgCatEg_96 (RFLPGenotype)
TgCatEg_97 (DNA extract)	RFLP assay	TgCatEg_97 (RFLP assay)	data transformation	TgCatEg_97 (RFLPGenotype)
TgCatEg_98 (DNA extract)	RFLP assay	TgCatEg_98 (RFLP assay)	data transformation	TgCatEg_98 (RFLPGenotype)
TgCatEg_99 (DNA extract)	RFLP assay	TgCatEg_99 (RFLP assay)	data transformation	TgCatEg_99 (RFLPGenotype)
TgCatEg_101 (DNA extract)	RFLP assay	TgCatEg_101 (RFLP assay)	data transformation	TgCatEg_101 (RFLPGenotype)
TgCatEg_103 (DNA extract)	RFLP assay	TgCatEg_103 (RFLP assay)	data transformation	TgCatEg_103 (RFLPGenotype)
TgCatEg_104 (DNA extract)	RFLP assay	TgCatEg_104 (RFLP assay)	data transformation	TgCatEg_104 (RFLPGenotype)
TgCatEg_107 (DNA extract)	RFLP assay	TgCatEg_107 (RFLP assay)	data transformation	TgCatEg_107 (RFLPGenotype)
TgCatEg_109 (DNA extract)	RFLP assay	TgCatEg_109 (RFLP assay)	data transformation	TgCatEg_109 (RFLPGenotype)
TgCatEg_112 (DNA extract)	RFLP assay	TgCatEg_112 (RFLP assay)	data transformation	TgCatEg_112 (RFLPGenotype)
TgCatEg_113 (DNA extract)	RFLP assay	TgCatEg_113 (RFLP assay)	data transformation	TgCatEg_113 (RFLPGenotype)
TgCatEg_7 (DNA extract)	RFLP assay	TgCatEg_7 (RFLP assay)	data transformation	TgCatEg_7 (RFLPGenotype)
TgCatEg_18 (DNA extract)	RFLP assay	TgCatEg_18 (RFLP assay)	data transformation	TgCatEg_18 (RFLPGenotype)
TgCatEg_34 (DNA extract)	RFLP assay	TgCatEg_34 (RFLP assay)	data transformation	TgCatEg_34 (RFLPGenotype)
TgCatEg_65 (DNA extract)	RFLP assay	TgCatEg_65 (RFLP assay)	data transformation	TgCatEg_65 (RFLPGenotype)
TgCatEg_57 (DNA extract)	RFLP assay	TgCatEg_57 (RFLP assay)	data transformation	TgCatEg_57 (RFLPGenotype)
TgCatEg_53 (DNA extract)	RFLP assay	TgCatEg_53 (RFLP assay)	data transformation	TgCatEg_53 (RFLPGenotype)
TgCatEg_67 (DNA extract)	RFLP assay	TgCatEg_67 (RFLP assay)	data transformation	TgCatEg_67 (RFLPGenotype)
TgCatEg_88 (DNA extract)	RFLP assay	TgCatEg_88 (RFLP assay)	data transformation	TgCatEg_88 (RFLPGenotype)
TgCkBF-1 (DNA extract)	RFLP assay	TgCkBF-1 (RFLP assay)	data transformation	TgCkBF-1 (RFLPGenotype)
TgCkDROC-3 (DNA extract)	RFLP assay	TgCkDROC-3 (RFLP assay)	data transformation	TgCkDROC-3 (RFLPGenotype)
TgCkDROC-6 (DNA extract)	RFLP assay	TgCkDROC-6 (RFLP assay)	data transformation	TgCkDROC-6 (RFLPGenotype)
TgCkDROC-8 (DNA extract)	RFLP assay	TgCkDROC-8 (RFLP assay)	data transformation	TgCkDROC-8 (RFLPGenotype)
TgCkDROC-9 (DNA extract)	RFLP assay	TgCkDROC-9 (RFLP assay)	data transformation	TgCkDROC-9 (RFLPGenotype)
TgCkEg12 (DNA extract)	RFLP assay	TgCkEg12 (RFLP assay)	data transformation	TgCkEg12 (RFLPGenotype)
TgCkEg13 (DNA extract)	RFLP assay	TgCkEg13 (RFLP assay)	data transformation	TgCkEg13 (RFLPGenotype)
TgCkEg14 (DNA extract)	RFLP assay	TgCkEg14 (RFLP assay)	data transformation	TgCkEg14 (RFLPGenotype)
TgCkEg16 (DNA extract)	RFLP assay	TgCkEg16 (RFLP assay)	data transformation	TgCkEg16 (RFLPGenotype)
TgCkEg17 (DNA extract)	RFLP assay	TgCkEg17 (RFLP assay)	data transformation	TgCkEg17 (RFLPGenotype)
TgCkMal-2 (DNA extract)	RFLP assay	TgCkMal-2 (RFLP assay)	data transformation	TgCkMal-2 (RFLPGenotype)
TgCkMal-3 (DNA extract)	RFLP assay	TgCkMal-3 (RFLP assay)	data transformation	TgCkMal-3 (RFLPGenotype)
TgCkMal-4 (DNA extract)	RFLP assay	TgCkMal-4 (RFLP assay)	data transformation	TgCkMal-4 (RFLPGenotype)
TgCkEg15 (DNA extract)	RFLP assay	TgCkEg15 (RFLP assay)	data transformation	TgCkEg15 (RFLPGenotype)
TgCkEg19 (DNA extract)	RFLP assay	TgCkEg19 (RFLP assay)	data transformation	TgCkEg19 (RFLPGenotype)
TgCkKen-1 (DNA extract)	RFLP assay	TgCkKen-1 (RFLP assay)	data transformation	TgCkKen-1 (RFLPGenotype)
TgCkMal-5 (DNA extract)	RFLP assay	TgCkMal-5 (RFLP assay)	data transformation	TgCkMal-5 (RFLPGenotype)
PL8 (DNA extract)	RFLP assay	PL8 (RFLP assay)	data transformation	PL8 (RFLPGenotype)
S1PF2 (DNA extract)	RFLP assay	S1PF2 (RFLP assay)	data transformation	S1PF2 (RFLPGenotype)
TgCkNg1 (DNA extract)	RFLP assay	TgCkNg1 (RFLP assay)	data transformation	TgCkNg1 (RFLPGenotype)
TgCkGh2 (DNA extract)	RFLP assay	TgCkGh2 (RFLP assay)	data transformation	TgCkGh2 (RFLPGenotype)
TgCkGh1 (DNA extract)	RFLP assay	TgCkGh1 (RFLP assay)	data transformation	TgCkGh1 (RFLPGenotype)
P24 (DNA extract)	RFLP assay	P24 (RFLP assay)	data transformation	P24 (RFLPGenotype)
PF26 (DNA extract)	RFLP assay	PF26 (RFLP assay)	data transformation	PF26 (RFLPGenotype)
PL15 (DNA extract)	RFLP assay	PL15 (RFLP assay)	data transformation	PL15 (RFLPGenotype)
PM2 (DNA extract)	RFLP assay	PM2 (RFLP assay)	data transformation	PM2 (RFLPGenotype)
GANGI (DNA extract)	RFLP assay	GANGI (RFLP assay)	data transformation	GANGI (RFLPGenotype)
WIK (DNA extract)	RFLP assay	WIK (RFLP assay)	data transformation	WIK (RFLPGenotype)
PSP-KOM (DNA extract)	RFLP assay	PSP-KOM (RFLP assay)	data transformation	PSP-KOM (RFLPGenotype)
TOU-ALI_WGA (DNA extract)	RFLP assay	TOU-ALI_WGA (RFLP assay)	data transformation	TOU-ALI_WGA (RFLPGenotype)
TgCtPRC2 (DNA extract)	RFLP assay	TgCtPRC2 (RFLP assay)	data transformation	TgCtPRC2 (RFLPGenotype)
TgCtPRC4 (DNA extract)	RFLP assay	TgCtPRC4 (RFLP assay)	data transformation	TgCtPRC4 (RFLPGenotype)
TgCtPRC5 (DNA extract)	RFLP assay	TgCtPRC5 (RFLP assay)	data transformation	TgCtPRC5 (RFLPGenotype)
TgCtPRC6 (DNA extract)	RFLP assay	TgCtPRC6 (RFLP assay)	data transformation	TgCtPRC6 (RFLPGenotype)
TgCtPRC7 (DNA extract)	RFLP assay	TgCtPRC7 (RFLP assay)	data transformation	TgCtPRC7 (RFLPGenotype)
TgCtPRC8 (DNA extract)	RFLP assay	TgCtPRC8 (RFLP assay)	data transformation	TgCtPRC8 (RFLPGenotype)
TgCtPRC9 (DNA extract)	RFLP assay	TgCtPRC9 (RFLP assay)	data transformation	TgCtPRC9 (RFLPGenotype)
TgCtPRC10 (DNA extract)	RFLP assay	TgCtPRC10 (RFLP assay)	data transformation	TgCtPRC10 (RFLPGenotype)
TgCtPRC11 (DNA extract)	RFLP assay	TgCtPRC11 (RFLP assay)	data transformation	TgCtPRC11 (RFLPGenotype)
TgCtPRC12 (DNA extract)	RFLP assay	TgCtPRC12 (RFLP assay)	data transformation	TgCtPRC12 (RFLPGenotype)
TgCtPRC13 (DNA extract)	RFLP assay	TgCtPRC13 (RFLP assay)	data transformation	TgCtPRC13 (RFLPGenotype)
TgCtPRC14 (DNA extract)	RFLP assay	TgCtPRC14 (RFLP assay)	data transformation	TgCtPRC14 (RFLPGenotype)
TgCtPRC15 (DNA extract)	RFLP assay	TgCtPRC15 (RFLP assay)	data transformation	TgCtPRC15 (RFLPGenotype)
TgCtPRC16 (DNA extract)	RFLP assay	TgCtPRC16 (RFLP assay)	data transformation	TgCtPRC16 (RFLPGenotype)
TgCtPRC17 (DNA extract)	RFLP assay	TgCtPRC17 (RFLP assay)	data transformation	TgCtPRC17 (RFLPGenotype)
TgCatBj1 (DNA extract)	RFLP assay	TgCatBj1 (RFLP assay)	data transformation	TgCatBj1 (RFLPGenotype)
TgCatBj2 (DNA extract)	RFLP assay	TgCatBj2 (RFLP assay)	data transformation	TgCatBj2 (RFLPGenotype)
TgCatBj3 (DNA extract)	RFLP assay	TgCatBj3 (RFLP assay)	data transformation	TgCatBj3 (RFLPGenotype)
TgCatBj4 (DNA extract)	RFLP assay	TgCatBj4 (RFLP assay)	data transformation	TgCatBj4 (RFLPGenotype)
TgCatBj5 (DNA extract)	RFLP assay	TgCatBj5 (RFLP assay)	data transformation	TgCatBj5 (RFLPGenotype)
TgCatBj6 (DNA extract)	RFLP assay	TgCatBj6 (RFLP assay)	data transformation	TgCatBj6 (RFLPGenotype)
TgCatBj7 (DNA extract)	RFLP assay	TgCatBj7 (RFLP assay)	data transformation	TgCatBj7 (RFLPGenotype)
TgCatBj8 (DNA extract)	RFLP assay	TgCatBj8 (RFLP assay)	data transformation	TgCatBj8 (RFLPGenotype)
TgCatBj9 (DNA extract)	RFLP assay	TgCatBj9 (RFLP assay)	data transformation	TgCatBj9 (RFLPGenotype)
TgCatBj10 (DNA extract)	RFLP assay	TgCatBj10 (RFLP assay)	data transformation	TgCatBj10 (RFLPGenotype)
TgCatBj11 (DNA extract)	RFLP assay	TgCatBj11 (RFLP assay)	data transformation	TgCatBj11 (RFLPGenotype)
TgC1 (DNA extract)	RFLP assay	TgC1 (RFLP assay)	data transformation	TgC1 (RFLPGenotype)
TgC2 (DNA extract)	RFLP assay	TgC2 (RFLP assay)	data transformation	TgC2 (RFLPGenotype)
TgC3 (DNA extract)	RFLP assay	TgC3 (RFLP assay)	data transformation	TgC3 (RFLPGenotype)
TgC4 (DNA extract)	RFLP assay	TgC4 (RFLP assay)	data transformation	TgC4 (RFLPGenotype)
TgC5 (DNA extract)	RFLP assay	TgC5 (RFLP assay)	data transformation	TgC5 (RFLPGenotype)
TgC6 (DNA extract)	RFLP assay	TgC6 (RFLP assay)	data transformation	TgC6 (RFLPGenotype)
TgC7 (DNA extract)	RFLP assay	TgC7 (RFLP assay)	data transformation	TgC7 (RFLPGenotype)
TgC8 (DNA extract)	RFLP assay	TgC8 (RFLP assay)	data transformation	TgC8 (RFLPGenotype)
TgCtPRC1 (DNA extract)	RFLP assay	TgCtPRC1 (RFLP assay)	data transformation	TgCtPRC1 (RFLPGenotype)
TgCtPRC3 (DNA extract)	RFLP assay	TgCtPRC3 (RFLP assay)	data transformation	TgCtPRC3 (RFLPGenotype)
TgCkId1 (DNA extract)	RFLP assay	TgCkId1 (RFLP assay)	data transformation	TgCkId1 (RFLPGenotype)
TgDgSl_5 (DNA extract)	RFLP assay	TgDgSl_5 (RFLP assay)	data transformation	TgDgSl_5 (RFLPGenotype)
TgDgSl_6 (DNA extract)	RFLP assay	TgDgSl_6 (RFLP assay)	data transformation	TgDgSl_6 (RFLPGenotype)
TgDgSl_10 (DNA extract)	RFLP assay	TgDgSl_10 (RFLP assay)	data transformation	TgDgSl_10 (RFLPGenotype)
TgDgSl1 (DNA extract)	RFLP assay	TgDgSl1 (RFLP assay)	data transformation	TgDgSl1 (RFLPGenotype)
TgDgSl2 (DNA extract)	RFLP assay	TgDgSl2 (RFLP assay)	data transformation	TgDgSl2 (RFLPGenotype)
TgDgSl3 (DNA extract)	RFLP assay	TgDgSl3 (RFLP assay)	data transformation	TgDgSl3 (RFLPGenotype)
TgDgSl7 (DNA extract)	RFLP assay	TgDgSl7 (RFLP assay)	data transformation	TgDgSl7 (RFLPGenotype)
TgDgSl8 (DNA extract)	RFLP assay	TgDgSl8 (RFLP assay)	data transformation	TgDgSl8 (RFLPGenotype)
TgDgSl9 (DNA extract)	RFLP assay	TgDgSl9 (RFLP assay)	data transformation	TgDgSl9 (RFLPGenotype)
TgDgSl15 (DNA extract)	RFLP assay	TgDgSl15 (RFLP assay)	data transformation	TgDgSl15 (RFLPGenotype)
TgDgSl17 (DNA extract)	RFLP assay	TgDgSl17 (RFLP assay)	data transformation	TgDgSl17 (RFLPGenotype)
TgDgSl19 (DNA extract)	RFLP assay	TgDgSl19 (RFLP assay)	data transformation	TgDgSl19 (RFLPGenotype)
TgDgSl20 (DNA extract)	RFLP assay	TgDgSl20 (RFLP assay)	data transformation	TgDgSl20 (RFLPGenotype)
TgDgSl24 (DNA extract)	RFLP assay	TgDgSl24 (RFLP assay)	data transformation	TgDgSl24 (RFLPGenotype)
TgDgVi5 (DNA extract)	RFLP assay	TgDgVi5 (RFLP assay)	data transformation	TgDgVi5 (RFLPGenotype)
TgDgVi6 (DNA extract)	RFLP assay	TgDgVi6 (RFLP assay)	data transformation	TgDgVi6 (RFLPGenotype)
TgDgVi7 (DNA extract)	RFLP assay	TgDgVi7 (RFLP assay)	data transformation	TgDgVi7 (RFLPGenotype)
TgDgVi8 (DNA extract)	RFLP assay	TgDgVi8 (RFLP assay)	data transformation	TgDgVi8 (RFLPGenotype)
TgDgSl_21 (DNA extract)	RFLP assay	TgDgSl_21 (RFLP assay)	data transformation	TgDgSl_21 (RFLPGenotype)
TgDgVi1 (DNA extract)	RFLP assay	TgDgVi1 (RFLP assay)	data transformation	TgDgVi1 (RFLPGenotype)
TgDgVi2 (DNA extract)	RFLP assay	TgDgVi2 (RFLP assay)	data transformation	TgDgVi2 (RFLPGenotype)
TgDgVi3 (DNA extract)	RFLP assay	TgDgVi3 (RFLP assay)	data transformation	TgDgVi3 (RFLPGenotype)
