Extract Name	Protocol REF	Assay Name
Extract 58.1	DNA Sequencing	58.1 (DNA Sequencing)
Extract 303.1	DNA Sequencing	303.1 (DNA Sequencing)
Extract 309.1	DNA Sequencing	309.1 (DNA Sequencing)
Extract 318.1	DNA Sequencing	318.1 (DNA Sequencing)
Extract 326.1	DNA Sequencing	326.1 (DNA Sequencing)
Extract 327.1	DNA Sequencing	327.1 (DNA Sequencing)
Extract 365.1	DNA Sequencing	365.1 (DNA Sequencing)
Extract 366.1	DNA Sequencing	366.1 (DNA Sequencing)
Extract 377.1	DNA Sequencing	377.1 (DNA Sequencing)
Extract 383.1	DNA Sequencing	383.1 (DNA Sequencing)
Extract 397.1	DNA Sequencing	397.1 (DNA Sequencing)
Extract 398.1	DNA Sequencing	398.1 (DNA Sequencing)
