Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[GAZ_00000448]	Characteristics[OBI_0100026]	Parameter Value [Year]	Characteristics[OPL_0000232]	Characteristics[haplogroup]
GAB5-2007-GAL-DOM1	Toxoplasma gondii GAB5-2007-GAL-DOM1 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00001092	NCBITaxon_9031	2007	Toxoplasma gondii GAB5-2007-GAL-DOM1	6a
GAB5-2007-GAL-DOM6	Toxoplasma gondii GAB5-2007-GAL-DOM6 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00001092	NCBITaxon_9031	2007	Toxoplasma gondii GAB5-2007-GAL-DOM6	14
GUY-2003-MEL	Toxoplasma gondii GUY-2003-MEL whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002516	NCBITaxon_9606	2004	Toxoplasma gondii GUY-2003-MEL	5
GUY-2004-JAG1	Toxoplasma gondii GUY-2004-JAG1 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002516	NCBITaxon_9690	2004	Toxoplasma gondii GUY-2004-JAG1	11
GUY-2004-ABE	Toxoplasma gondii wGUY-2004-ABE hole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002516	NCBITaxon_9606	2004	Toxoplasma gondii GUY-2004-ABE	5
M7741	Toxoplasma gondii M7741 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9940	1958	Toxoplasma gondii M7741	3
PRU	Toxoplasma gondii PRU whole genome,Human(congenital), Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002940	NCBITaxon_9606	1964	Toxoplasma gondii PRU	2
RAY	Toxoplasma gondii RAY whole genome,,Human(congenital), Illumina reads submitted to SRA				NCBITaxon_9606	1993	Toxoplasma gondii RAY	12
RH-88	Toxoplasma gondii RH-88 whole genome,Human(adolescent), Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9606	1939	Toxoplasma gondii RH-88	1
RH-JSR	Toxoplasma gondii RH-JSR whole genome,Human(adolescent), Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9606	1939	Toxoplasma gondii RH-JSR	1
ROD	Toxoplasma gondii ROD whole genome,Human(transplant), Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9606	1993	Toxoplasma gondii ROD	3
SOU	Toxoplasma gondii SOU whole genome,Human(AIDS), Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9606	1985	Toxoplasma gondii SOU	3
TgCatBr1	Toxoplasma gondii TgCatBr1 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9685	2006	Toxoplasma gondii TgCatBr1	4
TgCatBr10	Toxoplasma gondii TgCatBr10 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9685	2006	Toxoplasma gondii TgCatBr10	9
TgCatBr15	Toxoplasma gondii TgCatBr15 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9823	2006	Toxoplasma gondii TgCatBr15	9
TgCatBr18	Toxoplasma gondii TgCatBr18 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9685	2006	Toxoplasma gondii TgCatBr18	4
TgCatBr25	Toxoplasma gondii TgCatBr25 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9685	2006	Toxoplasma gondii TgCatBr25	8
TgCatBr26	Toxoplasma gondii TgCatBr26 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9685	2006	Toxoplasma gondii TgCatBr26	6b
TgCatBr3	Toxoplasma gondii TgCatBr3 whole genome, Illumina reads submitted to SRA					2003	Toxoplasma gondii TgCatBr3	9
TgCatBr34	Toxoplasma gondii TgCatBr34 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9685	2006	Toxoplasma gondii TgCatBr34	4
TgCatBr44	Toxoplasma gondii TgCatBr44 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9685	2008	Toxoplasma gondii TgCatBr44	10
TgCatBr64	Toxoplasma gondii TgCatBr64 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9031	2006	Toxoplasma gondii TgCatBr64	8
TgCatBr72	Toxoplasma gondii TgCatBr72 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9031	2003	Toxoplasma gondii TgCatBr72	6b
TgCatPRC3	Toxoplasma gondii TgCatPRC3 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002845	NCBITaxon_9685	1985	Toxoplasma gondii TgCatPRC3	3
TgCkBr141	Toxoplasma gondii TgCkBr141 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9031	2006	Toxoplasma gondii TgCkBr141	7
TgCkCr1	Toxoplasma gondii TgCkCr1 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002901	NCBITaxon_9031	2005	Toxoplasma gondii TgCkCr1	1
TgCkCr10	Toxoplasma gondii TgCkCr10 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002901	NCBITaxon_9031	2006	Toxoplasma gondii TgCkCr10	10
TgCkGy2	Toxoplasma gondii TgCkGy2 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002522	NCBITaxon_9031	2007	Toxoplasma gondii TgCkGy2	3
TgDogCo17	Toxoplasma gondii TgDogCo17 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002929	NCBITaxon_9615	2006	Toxoplasma gondii TgDogCo17	1
TgH26044	Toxoplasma gondii TgH26044 whole genome, Illumina reads submitted to SRA					2007	Toxoplasma gondii TgH26044	4
TgRsCr1	Toxoplasma gondii TgRsCr1 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002901	NCBITaxon_57381	2006	Toxoplasma gondii TgRsCr1	5
TgShUS28	Toxoplasma gondii TgShUS28 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9940	2008	Toxoplasma gondii TgShUS28	3
