Extract Name	Protocol REF	Protocol REF		Assay Name	Protocol REF	Data Transformation Name
Extract T2_C6	labeling	nucleic acid hybridization		T2_C6 SNP Chip Assay	sequence analysis data transformation	T2_C6 (Sequence Variations)
Extract TD203	labeling	nucleic acid hybridization		TD203 SNP Chip Assay	sequence analysis data transformation	TD203 (Sequence Variations)
Extract TD257	labeling	nucleic acid hybridization		TD257 SNP Chip Assay	sequence analysis data transformation	TD257 (Sequence Variations)
Extract TM327	labeling	nucleic acid hybridization		TM327 SNP Chip Assay	sequence analysis data transformation	TM327 (Sequence Variations)
Extract TM345	labeling	nucleic acid hybridization		TM345 SNP Chip Assay	sequence analysis data transformation	TM345 (Sequence Variations)
Extract TM90C2A	labeling	nucleic acid hybridization		TM90C2A SNP Chip Assay	sequence analysis data transformation	TM90C2A (Sequence Variations)
Extract TM91C235	labeling	nucleic acid hybridization		TM91C235 SNP Chip Assay	sequence analysis data transformation	TM91C235 (Sequence Variations)
Extract TM90C6A_unknown	labeling	nucleic acid hybridization		TM90C6A_unknown SNP Chip Assay	sequence analysis data transformation	TM90C6A_unknown (Sequence Variations)
Extract VS_1	labeling	nucleic acid hybridization		VS_1 SNP Chip Assay	sequence analysis data transformation	VS_1 (Sequence Variations)
Extract WR87	labeling	nucleic acid hybridization		WR87 SNP Chip Assay	sequence analysis data transformation	WR87 (Sequence Variations)
Extract 3D7	labeling	nucleic acid hybridization		3D7 SNP Chip Assay	sequence analysis data transformation	3D7 (Sequence Variations)
Extract Preichenowi	labeling	nucleic acid hybridization		Preichenowi SNP Chip Assay	sequence analysis data transformation	Preichenowi (Sequence Variations)
