Sample Name	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Assay Name	Protocol REF	Data Transformation Name
Sample RAJ116	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample RAJ116 SNP Chip Assay	sequence analysis data transformation	RAJ116 (Sequence Variations)
Sample Dd2	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Dd2 SNP Chip Assay	sequence analysis data transformation	Dd2 (Sequence Variations)
Sample Indochina_I	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Indochina_I SNP Chip Assay	sequence analysis data transformation	Indochina_I (Sequence Variations)
Sample Malayan	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Malayan SNP Chip Assay	sequence analysis data transformation	Malayan (Sequence Variations)
Sample D10	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample D10 SNP Chip Assay	sequence analysis data transformation	D10 (Sequence Variations)
Sample Muz51.1	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Muz51.1 SNP Chip Assay	sequence analysis data transformation	Muz51.1 (Sequence Variations)
Sample GH2	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample GH2 SNP Chip Assay	sequence analysis data transformation	GH2 (Sequence Variations)
Sample K1	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample K1 SNP Chip Assay	sequence analysis data transformation	K1 (Sequence Variations)
Sample PR145	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample PR145 SNP Chip Assay	sequence analysis data transformation	PR145 (Sequence Variations)
Sample T2_C6	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample T2_C6 SNP Chip Assay	sequence analysis data transformation	T2_C6 (Sequence Variations)
Sample TD203	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample TD203 SNP Chip Assay	sequence analysis data transformation	TD203 (Sequence Variations)
Sample TD257	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample TD257 SNP Chip Assay	sequence analysis data transformation	TD257 (Sequence Variations)
Sample TM327	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample TM327 SNP Chip Assay	sequence analysis data transformation	TM327 (Sequence Variations)
Sample TM345	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample TM345 SNP Chip Assay	sequence analysis data transformation	TM345 (Sequence Variations)
Sample TM90C2A	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample TM90C2A SNP Chip Assay	sequence analysis data transformation	TM90C2A (Sequence Variations)
Sample TM91C235	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample TM91C235 SNP Chip Assay	sequence analysis data transformation	TM91C235 (Sequence Variations)
Sample TM90C6A_unknown	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample TM90C6A_unknown SNP Chip Assay	sequence analysis data transformation	TM90C6A_unknown (Sequence Variations)
Sample VS_1	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample VS_1 SNP Chip Assay	sequence analysis data transformation	VS_1 (Sequence Variations)
Sample WR87	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample WR87 SNP Chip Assay	sequence analysis data transformation	WR87 (Sequence Variations)
Sample 3D7	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 3D7 SNP Chip Assay	sequence analysis data transformation	3D7 (Sequence Variations)
Sample Preichenowi	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Preichenowi SNP Chip Assay	sequence analysis data transformation	Preichenowi (Sequence Variations)
