sample_name	description			host_age	role	altitude	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	country	depth	elevation	env_biome	env_feature	env_matter	host_common_name	host_subject_id	host_taxid	larval_tetracycline	latitude	longitude	sex
1064.G.CJV200	"Sample 1064.G.CJV200 : Whole intestine tissue, with food content."			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV200	7460	FALSE	18.22	-65.99	female
1064.G.CJV201	"Sample 1064.G.CJV201 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV201	7460	TRUE	18.22	-65.99	female
1064.G.CJV202	"Sample 1064.G.CJV202 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV202	7460	TRUE	18.22	-65.99	female
1064.G.CJV203	"Sample 1064.G.CJV203 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV203	7460	TRUE	18.22	-65.99	female
1064.G.CJV204	"Sample 1064.G.CJV204 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV204	7460	TRUE	18.22	-65.99	female
1064.G.CJV205	"Sample 1064.G.CJV205 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV205	7460	TRUE	18.22	-65.99	female
1064.G.CJV206	"Sample 1064.G.CJV206 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV206	7460	TRUE	18.22	-65.99	female
1064.G.CJV207	"Sample 1064.G.CJV207 : Whole intestine tissue, with food content."				queen	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/23/2008	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV207	7460	TRUE	18.22	-65.99	female
1064.G.CJV227	"Sample 1064.G.CJV227 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/16/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV227	7460	FALSE	18.22	-65.99	female
1064.G.CJV228	"Sample 1064.G.CJV228 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/16/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV228	7460	FALSE	18.22	-65.99	female
1064.G.CJV229	"Sample 1064.G.CJV229 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/16/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV229	7460	FALSE	18.22	-65.99	female
1064.G.CJV230	"Sample 1064.G.CJV230 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/16/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV230	7460	FALSE	18.22	-65.99	female
1064.G.CJV231	"Sample 1064.G.CJV231 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/16/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV231	7460	FALSE	18.22	-65.99	female
1064.G.CJV232	"Sample 1064.G.CJV232 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/16/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV232	7460	FALSE	18.22	-65.99	female
1064.G.CV01	"Sample 1064.G.CV01 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV01	7460	FALSE	18.22	-65.99	female
