Sample Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Protocol REF	Data Transformation Name
SenT015.09	DNA extraction	DNA Sequencing	SenT015.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT015.09 (Sequence Variation)
SenT044.10	DNA extraction	DNA Sequencing	SenT044.10 DNASeq Assay	data collection	sequence analysis data transformation	SenT044.10 (Sequence Variation)
SenT002.09	DNA extraction	DNA Sequencing	SenT002.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT002.09 (Sequence Variation)
SenT110.09	DNA extraction	DNA Sequencing	SenT110.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT110.09 (Sequence Variation)
SenT111.09	DNA extraction	DNA Sequencing	SenT111.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT111.09 (Sequence Variation)
SenT087.08	DNA extraction	DNA Sequencing	SenT087.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT087.08 (Sequence Variation)
SenT170.08	DNA extraction	DNA Sequencing	SenT170.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT170.08 (Sequence Variation)
SenT067.09	DNA extraction	DNA Sequencing	SenT067.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT067.09 (Sequence Variation)
SenT123.09	DNA extraction	DNA Sequencing	SenT123.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT123.09 (Sequence Variation)
SenT104.07	DNA extraction	DNA Sequencing	SenT104.07 DNASeq Assay	data collection	sequence analysis data transformation	SenT104.07 (Sequence Variation)
SenT235.08	DNA extraction	DNA Sequencing	SenT235.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT235.08 (Sequence Variation)
SenT106.08	DNA extraction	DNA Sequencing	SenT106.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT106.08 (Sequence Variation)
SenT102.08	DNA extraction	DNA Sequencing	SenT102.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT102.08 (Sequence Variation)
SenT149.09	DNA extraction	DNA Sequencing	SenT149.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT149.09 (Sequence Variation)
SenT119.09	DNA extraction	DNA Sequencing	SenT119.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT119.09 (Sequence Variation)
SenT097.09	DNA extraction	DNA Sequencing	SenT097.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT097.09 (Sequence Variation)
SenT224.08	DNA extraction	DNA Sequencing	SenT224.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT224.08 (Sequence Variation)
SenT094.09	DNA extraction	DNA Sequencing	SenT094.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT094.09 (Sequence Variation)
SenT061.09	DNA extraction	DNA Sequencing	SenT061.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT061.09 (Sequence Variation)
SenT180.08	DNA extraction	DNA Sequencing	SenT180.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT180.08 (Sequence Variation)
SenT128.08	DNA extraction	DNA Sequencing	SenT128.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT128.08 (Sequence Variation)
SenT001.08	DNA extraction	DNA Sequencing	SenT001.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT001.08 (Sequence Variation)
SenT150.09	DNA extraction	DNA Sequencing	SenT150.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT150.09 (Sequence Variation)
SenT151.09	DNA extraction	DNA Sequencing	SenT151.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT151.09 (Sequence Variation)
SenT113.09	DNA extraction	DNA Sequencing	SenT113.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT113.09 (Sequence Variation)
