Sample Name	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Assay Name	Protocol REF	Data Transformation Name
Sample HB3	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample HB3SNP Chip Assay	sequence analysis data transformation	HB3 (Sequence Variations)
Sample HB3_repeat	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample HB3_repeatSNP Chip Assay	sequence analysis data transformation	HB3_repeat (Sequence Variations)
Sample 3D7_1	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 3D7_1SNP Chip Assay	sequence analysis data transformation	3D7_1 (Sequence Variations)
Sample Dd2	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Dd2SNP Chip Assay	sequence analysis data transformation	Dd2 (Sequence Variations)
Sample K1	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample K1SNP Chip Assay	sequence analysis data transformation	K1 (Sequence Variations)
Sample 7G8	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 7G8SNP Chip Assay	sequence analysis data transformation	7G8 (Sequence Variations)
Sample V1_S	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample V1_SSNP Chip Assay	sequence analysis data transformation	V1_S (Sequence Variations)
Sample D10	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample D10SNP Chip Assay	sequence analysis data transformation	D10 (Sequence Variations)
Sample Malayan	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample MalayanSNP Chip Assay	sequence analysis data transformation	Malayan (Sequence Variations)
Sample SantaLucia	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SantaLuciaSNP Chip Assay	sequence analysis data transformation	SantaLucia (Sequence Variations)
Sample SenP31.01	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP31.01SNP Chip Assay	sequence analysis data transformation	SenP31.01 (Sequence Variations)
Sample SenV34.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenV34.04SNP Chip Assay	sequence analysis data transformation	SenV34.04 (Sequence Variations)
Sample SenV35.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenV35.04SNP Chip Assay	sequence analysis data transformation	SenV35.04 (Sequence Variations)
Sample SenP51.02	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP51.02SNP Chip Assay	sequence analysis data transformation	SenP51.02 (Sequence Variations)
Sample SenV56.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenV56.04SNP Chip Assay	sequence analysis data transformation	SenV56.04 (Sequence Variations)
