Extract Name	Protocol REF	Assay Name
SAMN02677138	DNA Sequencing	Peru3323 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Peru4017 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Peru4023 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Peru852 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Peru858 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Peru869 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Peru872 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Peru99622 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PNG16 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PNG17 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PNG58 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PNG72 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PNG73 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PVRVL1991 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PVRVL1997 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PVRVL2000 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PVRVL2003 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PVXMQ2006 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PVXMW2006 (DNA Sequencing)
SAMN02677138	DNA Sequencing	PVXMZ2010 (DNA Sequencing)
SAMN02677138	DNA Sequencing	ST01 (DNA Sequencing)
SAMN02677138	DNA Sequencing	ST02 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-100 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-101 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-106 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-58 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-71 (DNA Sequencing)
