Sample Name	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Assay Name	Protocol REF	Data Transformation Name
Sample 3D7	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 3D7 SNP Chip Assay	sequence analysis data transformation	3D7 (Sequence Variations)
Sample HB3	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample HB3 SNP Chip Assay	sequence analysis data transformation	HB3 (Sequence Variations)
Sample Dd2	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Dd2 SNP Chip Assay	sequence analysis data transformation	Dd2 (Sequence Variations)
Sample 7G8	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 7G8 SNP Chip Assay	sequence analysis data transformation	7G8 (Sequence Variations)
Sample D10	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample D10 SNP Chip Assay	sequence analysis data transformation	D10 (Sequence Variations)
Sample D6	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample D6 SNP Chip Assay	sequence analysis data transformation	D6 (Sequence Variations)
Sample K1	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample K1 SNP Chip Assay	sequence analysis data transformation	K1 (Sequence Variations)
Sample RO-33	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample RO-33 SNP Chip Assay	sequence analysis data transformation	RO-33 (Sequence Variations)
Sample Santa Lucia	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Santa Lucia SNP Chip Assay	sequence analysis data transformation	Santa Lucia (Sequence Variations)
Sample Senegal P31.01	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Senegal P31.01 SNP Chip Assay	sequence analysis data transformation	Senegal P31.01 (Sequence Variations)
Sample Senegal P51.02	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Senegal P51.02 SNP Chip Assay	sequence analysis data transformation	Senegal P51.02 (Sequence Variations)
Sample Senegal V34.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Senegal V34.04 SNP Chip Assay	sequence analysis data transformation	Senegal V34.04 (Sequence Variations)
Sample Senegal V35.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Senegal V35.04 SNP Chip Assay	sequence analysis data transformation	Senegal V35.04 (Sequence Variations)
Sample V1/S	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample V1/S SNP Chip Assay	sequence analysis data transformation	V1/S (Sequence Variations)
Sample Malayan Camp	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Malayan Camp SNP Chip Assay	sequence analysis data transformation	Malayan Camp (Sequence Variations)
Sample 51	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 51 SNP Chip Assay	sequence analysis data transformation	51 (Sequence Variations)
Sample 608	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 608 SNP Chip Assay	sequence analysis data transformation	608 (Sequence Variations)
Sample 10/10B	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 10/10B SNP Chip Assay	sequence analysis data transformation	10/10B (Sequence Variations)
Sample 10_54	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 10_54 SNP Chip Assay	sequence analysis data transformation	10_54 (Sequence Variations)
Sample 207_89	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 207_89 SNP Chip Assay	sequence analysis data transformation	207_89 (Sequence Variations)
Sample 35_26	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 35_26 SNP Chip Assay	sequence analysis data transformation	35_26 (Sequence Variations)
Sample 36_89	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 36_89 SNP Chip Assay	sequence analysis data transformation	36_89 (Sequence Variations)
Sample 365_89	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 365_89 SNP Chip Assay	sequence analysis data transformation	365_89 (Sequence Variations)
Sample 9_411	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 9_411 SNP Chip Assay	sequence analysis data transformation	9_411 (Sequence Variations)
Sample APO41	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample APO41 SNP Chip Assay	sequence analysis data transformation	APO41 (Sequence Variations)
Sample FCC-2	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample FCC-2 SNP Chip Assay	sequence analysis data transformation	FCC-2 (Sequence Variations)
Sample GH2	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample GH2 SNP Chip Assay	sequence analysis data transformation	GH2 (Sequence Variations)
Sample IGHCR14	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample IGHCR14 SNP Chip Assay	sequence analysis data transformation	IGHCR14 (Sequence Variations)
Sample Indochina I	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Indochina I SNP Chip Assay	sequence analysis data transformation	Indochina I (Sequence Variations)
Sample M24	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample M24 SNP Chip Assay	sequence analysis data transformation	M24 (Sequence Variations)
Sample Malawi CF04.008 10B	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Malawi CF04.008 10B SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 10B (Sequence Variations)
Sample Malawi CF04.008 12G	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Malawi CF04.008 12G SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 12G (Sequence Variations)
Sample Malawi CF04.008 1F	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Malawi CF04.008 1F SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 1F (Sequence Variations)
Sample Malawi CF04.008 2G	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Malawi CF04.008 2G SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 2G (Sequence Variations)
Sample Malawi CF04.008 7H	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Malawi CF04.008 7H SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 7H (Sequence Variations)
Sample Malawi CF04.009	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Malawi CF04.009 SNP Chip Assay	sequence analysis data transformation	Malawi CF04.009 (Sequence Variations)
