sample_name	description			altitude	anonymized_name	assigned_from_geo	body_habitat	body_product	body_site	collection_timestamp	country	day	depth	dna_extracted	elevation	env_biome	env_feature	env_matter	extracted_dna_avail_now	family	host_common_name	host_subject_id	host_taxid	house	house_day_subject_surface	house_day_surface	house_surface	latitude	life_stage	longitude	move_time	moved	notes	number_children	number_residents_human	percent_adult_residents	percent_male	pet_farm_animal	physical_specimen_location	physical_specimen_remaining	public	required_sample_info_status	sample_order	sample_progress	sample_tube_id	sample_type	sex	source	source1	sourcesink	subject	subject_surface	surface	taxon_id	time	title
2192.H01a.Bathroom.Door.Knob.318.lane2.NoIndex.L002	Sample 2192.H01a.Bathroom.Door.Knob.318.lane2.NoIndex.L002 			0	H01a.Bathroom_Door_Knob	True				2012-02-26 00:00:00	GAZ:United States of America	D14	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D14.House_01a.Bathroom_Door_Knob	H01a.D14.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False	Turtle Tank Cleaned - By Kitchen Sink	2	4	0.5	0.75	none	ANL	True	True	completed	231	sequenced (16S)	318	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	9:30am	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.54.lane1.NoIndex.L001	Sample 2192.H01a.Bathroom.Door.Knob.54.lane1.NoIndex.L001 			0	H01a.Bathroom_Door_Knob	True				2012-02-12 00:00:00	GAZ:United States of America	D03	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D03.House_01a.Bathroom_Door_Knob	H01a.D03.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	42	sequenced (16S)	54	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	7:45PM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.6.lane1.NoIndex.L001	Sample 2192.H01a.Bathroom.Door.Knob.6.lane1.NoIndex.L001 			0	H01a.Bathroom_Door_Knob	True				2012-02-10 00:00:00	GAZ:United States of America	D01	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D01.House_01a.Bathroom_Door_Knob	H01a.D01.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	6	sequenced (16S)	6	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	9:00AM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.78.lane1.NoIndex.L001	Sample 2192.H01a.Bathroom.Door.Knob.78.lane1.NoIndex.L001 			0	H01a.Bathroom_Door_Knob	True				2012-02-13 00:00:00	GAZ:United States of America	D04	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D04.House_01a.Bathroom_Door_Knob	H01a.D04.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	60	sequenced (16S)	78	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.100.lane1.NoIndex.L001	Sample 2192.H01a.Bedroom.Floor.100.lane1.NoIndex.L001 			0	H01a.unknown	True				2012-02-14 00:00:00	GAZ:United States of America	D05	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D05.House_01a.Bedroom_Floor	H01a.D05.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	76	sequenced (16S)	100	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.124.lane1.NoIndex.L001	Sample 2192.H01a.Bedroom.Floor.124.lane1.NoIndex.L001 			0	H01a.unknown	True				2012-02-15 00:00:00	GAZ:United States of America	D06	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D06.House_01a.Bedroom_Floor	H01a.D06.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	94	sequenced (16S)	124	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	8:20AM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.148.lane1.NoIndex.L001	Sample 2192.H01a.Bedroom.Floor.148.lane1.NoIndex.L001 			0	H01a.unknown	True				2012-02-16 00:00:00	GAZ:United States of America	D07	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D07.House_01a.Bedroom_Floor	H01a.D07.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False	Jack in Vancouver	2	4	0.5	0.75	none	ANL	True	True	completed	112	sequenced (16S)	148	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	8:40PM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.172.lane2.NoIndex.L002	Sample 2192.H01a.Bedroom.Floor.172.lane2.NoIndex.L002 			0	H01a.unknown	True				2012-02-17 00:00:00	GAZ:United States of America	D08	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D08.House_01a.Bedroom_Floor	H01a.D08.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False	Bag Metadata missing assuming 8:40pm, no cleaning	2	4	0.5	0.75	none	ANL	True	True	completed	127	sequenced (16S)	172	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	8:40PM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.196.lane2.NoIndex.L002	Sample 2192.H01a.Bedroom.Floor.196.lane2.NoIndex.L002 			0	H01a.unknown	True				2012-02-18 00:00:00	GAZ:United States of America	D09	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D09.House_01a.Bedroom_Floor	H01a.D09.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False	Jack in Vancouver	2	4	0.5	0.75	none	ANL	True	True	completed	142	sequenced (16S)	196	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	8:45PM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.220.lane2.NoIndex.L002	Sample 2192.H01a.Bedroom.Floor.220.lane2.NoIndex.L002 			0	H01a.unknown	True				2012-02-19 00:00:00	GAZ:United States of America	D10	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D10.House_01a.Bedroom_Floor	H01a.D10.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	157	sequenced (16S)	220	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	8:00PM	Gilbert_house_forensics_BE
