Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[MiXS_host_age]	Characteristics[BFO_0000023]	Characteristics[MiXS_alt]	Characteristics[MiXS_host_body_habitat]	Characteristics[OBI_0001627]	Characteristics[ENVO_00000176]	Characteristics[MiXS_env_biome]	Characteristics[MiXS_env_feature]	Characteristics[MiXS_host_common_name]	Characteristics[MiXS_host_taxid]	Characteristics[OBI_0001620]	Characteristics[OBI_0001621]	Characteristics[PATO_0000047]	Characteristics[GAZ_00000448]	Protocol REF	Sample Name	Material Type	Term Source REF	Term Accession Number	Description	Characteristics[MiXS_host_body_product]	Characteristics[MiXS_host_body_site]	Characteristics[MiXS_env_material]	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
H-CV244	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV244	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV244	DNA extract	OBI	OBI_0001051
H-CV305	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV305	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV305	DNA extract	OBI	OBI_0001051
H-CV306	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV306	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV306	DNA extract	OBI	OBI_0001051
H-CV307	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV307	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV307	DNA extract	OBI	OBI_0001051
H-CV308	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV308	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV308	DNA extract	OBI	OBI_0001051
H-CV309	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV309	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV309	DNA extract	OBI	OBI_0001051
H-CV310	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV310	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV310	DNA extract	OBI	OBI_0001051
H.GVR165	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.GVR165	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.GVR165	DNA extract	OBI	OBI_0001051
H.GVR166	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.GVR166	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.GVR166	DNA extract	OBI	OBI_0001051
H.GVR167	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.GVR167	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.GVR167	DNA extract	OBI	OBI_0001051
H.GVR168	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.GVR168	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.GVR168	DNA extract	OBI	OBI_0001051
H.GVR169	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.GVR169	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.GVR169	DNA extract	OBI	OBI_0001051
H.GVR170	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.GVR170	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.GVR170	DNA extract	OBI	OBI_0001051
G-CV10	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV10	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV10	DNA extract	OBI	OBI_0001051
G-CV11	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV11	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV11	DNA extract	OBI	OBI_0001051
G-CV12	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV12	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV12	DNA extract	OBI	OBI_0001051
G-CV318	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV318	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV318	DNA extract	OBI	OBI_0001051
G-CV319	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV319	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV319	DNA extract	OBI	OBI_0001051
G-CV320	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV320	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV320	DNA extract	OBI	OBI_0001051
G-CV321	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV321	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV321	DNA extract	OBI	OBI_0001051
G-CV322	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV322	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV322	DNA extract	OBI	OBI_0001051
G-CV323	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV323	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV323	DNA extract	OBI	OBI_0001051
H-CV10	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV10	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV10	DNA extract	OBI	OBI_0001051
H-CV11	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV11	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV11	DNA extract	OBI	OBI_0001051
H-CV12	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV12	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV12	DNA extract	OBI	OBI_0001051
H-CV318	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV318	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV318	DNA extract	OBI	OBI_0001051
H-CV319	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV319	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV319	DNA extract	OBI	OBI_0001051
H-CV320	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV320	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV320	DNA extract	OBI	OBI_0001051
H-CV321	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV321	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV321	DNA extract	OBI	OBI_0001051
H-CV322	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV322	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV322	DNA extract	OBI	OBI_0001051
H-CV323	host organism	GO	GO_0018995	4	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV323	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV323	DNA extract	OBI	OBI_0001051
G-CJV189	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV189	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV189	DNA extract	OBI	OBI_0001051
G-CJV190	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV190	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV190	DNA extract	OBI	OBI_0001051
G-CJV191	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV191	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV191	DNA extract	OBI	OBI_0001051
G-CJV192	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV192	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV192	DNA extract	OBI	OBI_0001051
G-CJV193	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV193	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV193	DNA extract	OBI	OBI_0001051
G-CJV194	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV194	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV194	DNA extract	OBI	OBI_0001051
H-CJV189	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV189	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV189	DNA extract	OBI	OBI_0001051
H-CJV190	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV190	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV190	DNA extract	OBI	OBI_0001051
H-CJV191	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV191	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV191	DNA extract	OBI	OBI_0001051
H-CJV192	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV192	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV192	DNA extract	OBI	OBI_0001051
H-CJV193	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV193	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV193	DNA extract	OBI	OBI_0001051
H-CJV194	host organism	GO	GO_0018995	5	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV194	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV194	DNA extract	OBI	OBI_0001051
G-CV233	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV233	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV233	DNA extract	OBI	OBI_0001051
G-CV234	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV234	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV234	DNA extract	OBI	OBI_0001051
G-CV235	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV235	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV235	DNA extract	OBI	OBI_0001051
G-CV236	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV236	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV236	DNA extract	OBI	OBI_0001051
G-CV237	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV237	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV237	DNA extract	OBI	OBI_0001051
G-CV238	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV238	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV238	DNA extract	OBI	OBI_0001051
G-CV25	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV25	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV25	DNA extract	OBI	OBI_0001051
G-CV26	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV26	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV26	DNA extract	OBI	OBI_0001051
G-CV27	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV27	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV27	DNA extract	OBI	OBI_0001051
H-CV233	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV233	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV233	DNA extract	OBI	OBI_0001051
H-CV234	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV234	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV234	DNA extract	OBI	OBI_0001051
H-CV235	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV235	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV235	DNA extract	OBI	OBI_0001051
H-CV236	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV236	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV236	DNA extract	OBI	OBI_0001051
H-CV237	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV237	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV237	DNA extract	OBI	OBI_0001051
H-CV238	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV238	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV238	DNA extract	OBI	OBI_0001051
H-CV25	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV25	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV25	DNA extract	OBI	OBI_0001051
H-CV26	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV26	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV26	DNA extract	OBI	OBI_0001051
H-CV27	host organism	GO	GO_0018995	7	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV27	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV27	DNA extract	OBI	OBI_0001051
G-CV281	host organism	GO	GO_0018995	8	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV281	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV281	DNA extract	OBI	OBI_0001051
G-CV282	host organism	GO	GO_0018995	8	nurse	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV282	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV282	DNA extract	OBI	OBI_0001051
