Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[MiXS_host_age]	Characteristics[BFO_0000023]	Characteristics[MiXS_alt]	Characteristics[MiXS_host_body_habitat]	Characteristics[OBI_0001627]	Characteristics[ENVO_00000176]	Characteristics[MiXS_env_biome]	Characteristics[MiXS_env_feature]	Characteristics[MiXS_host_common_name]	Characteristics[MiXS_host_taxid]	Characteristics[OBI_0001620]	Characteristics[OBI_0001621]	Characteristics[PATO_0000047]	Characteristics[GAZ_00000448]	Protocol REF	Sample Name	Material Type	Term Source REF	Term Accession Number	Description	Characteristics[MiXS_host_body_product]	Characteristics[MiXS_host_body_site]	Characteristics[MiXS_env_material]	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
G-CV209	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV209	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV209	DNA extract	OBI	OBI_0001051
G-CV210	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV210	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV210	DNA extract	OBI	OBI_0001051
G-CV211	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV211	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV211	DNA extract	OBI	OBI_0001051
G-CV212	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV212	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV212	DNA extract	OBI	OBI_0001051
G-CV213	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV213	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV213	DNA extract	OBI	OBI_0001051
G-CV214	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV214	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV214	DNA extract	OBI	OBI_0001051
G-CV239	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV239	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV239	DNA extract	OBI	OBI_0001051
G-CV240	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV240	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV240	DNA extract	OBI	OBI_0001051
G-CV241	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV241	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV241	DNA extract	OBI	OBI_0001051
G-CV242	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV242	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV242	DNA extract	OBI	OBI_0001051
G-CV243	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV243	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV243	DNA extract	OBI	OBI_0001051
G-CV244	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV244	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV244	DNA extract	OBI	OBI_0001051
G-CV305	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV305	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV305	DNA extract	OBI	OBI_0001051
G-CV306	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV306	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV306	DNA extract	OBI	OBI_0001051
G-CV307	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV307	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV307	DNA extract	OBI	OBI_0001051
G-CV308	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV308	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV308	DNA extract	OBI	OBI_0001051
G-CV309	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV309	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV309	DNA extract	OBI	OBI_0001051
G-CV310	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV310	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV310	DNA extract	OBI	OBI_0001051
G.GVR165	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.GVR165	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.GVR165	DNA extract	OBI	OBI_0001051
