sample_name	description			host_age	role	altitude	anonymized_name	assigned_from_geo	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	common_name	country	depth	dna_extracted	elevation	env_biome	env_feature	env_matter	host_common_name	host_scientific_name	host_subject_id	host_taxid	larval_tetracycline	latitude	longitude	physical_specimen_location	physical_specimen_remaining	public	required_sample_info_status	sample_name_in_tube	sample_type	sex	taxon_id	title	village
1064.G.CJV195	Sample 1064.G.CJV195 : Whole intestine tissue, with food content.			12 days	worker	0	G.CJV195	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV195	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	191	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV196	Sample 1064.G.CJV196 : Whole intestine tissue, with food content.			12 days	worker	0	G.CJV196	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV196	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	193	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV197	Sample 1064.G.CJV197 : Whole intestine tissue, with food content.			12 days	worker	0	G.CJV197	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV197	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	195	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV198	Sample 1064.G.CJV198 : Whole intestine tissue, with food content.			12 days	worker	0	G.CJV198	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV198	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	197	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV199	Sample 1064.G.CJV199 : Whole intestine tissue, with food content.			12 days	worker	0	G.CJV199	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV199	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	199	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV200	Sample 1064.G.CJV200 : Whole intestine tissue, with food content.			12 days	worker	0	G.CJV200	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV200	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	201	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV201	Sample 1064.G.CJV201 : Whole intestine tissue, with food content.			21 days	worker	0	G.CJV201	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV201	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	203	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV202	Sample 1064.G.CJV202 : Whole intestine tissue, with food content.			21 days	worker	0	G.CJV202	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV202	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	205	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV203	Sample 1064.G.CJV203 : Whole intestine tissue, with food content.			21 days	worker	0	G.CJV203	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV203	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	207	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV204	Sample 1064.G.CJV204 : Whole intestine tissue, with food content.			21 days	worker	0	G.CJV204	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV204	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	209	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
