Extract Name	Protocol REF	Protocol REF	Assay Name
Extract 1064.H.CV48	DNA Sequencing	metagenomics analysis	1064.H.CV48 (OTU)
Extract 1064.H.CV72	DNA Sequencing	metagenomics analysis	1064.H.CV72 (OTU)
Extract 1064.H.CV73	DNA Sequencing	metagenomics analysis	1064.H.CV73 (OTU)
Extract 1064.H.CV74	DNA Sequencing	metagenomics analysis	1064.H.CV74 (OTU)
Extract 1064.H.CV75	DNA Sequencing	metagenomics analysis	1064.H.CV75 (OTU)
Extract 1064.H.CV76	DNA Sequencing	metagenomics analysis	1064.H.CV76 (OTU)
Extract 1064.H.CV77	DNA Sequencing	metagenomics analysis	1064.H.CV77 (OTU)
Extract 1064.H.CV90	DNA Sequencing	metagenomics analysis	1064.H.CV90 (OTU)
Extract 1064.H.CV91	DNA Sequencing	metagenomics analysis	1064.H.CV91 (OTU)
Extract 1064.H.CV92	DNA Sequencing	metagenomics analysis	1064.H.CV92 (OTU)
Extract 1064.H.CV93	DNA Sequencing	metagenomics analysis	1064.H.CV93 (OTU)
Extract 1064.H.CV94	DNA Sequencing	metagenomics analysis	1064.H.CV94 (OTU)
Extract 1064.H.CV95	DNA Sequencing	metagenomics analysis	1064.H.CV95 (OTU)
Extract 1064.H.GVR165	DNA Sequencing	metagenomics analysis	1064.H.GVR165 (OTU)
Extract 1064.H.GVR166	DNA Sequencing	metagenomics analysis	1064.H.GVR166 (OTU)
Extract 1064.H.GVR167	DNA Sequencing	metagenomics analysis	1064.H.GVR167 (OTU)
Extract 1064.H.GVR168	DNA Sequencing	metagenomics analysis	1064.H.GVR168 (OTU)
Extract 1064.H.GVR169	DNA Sequencing	metagenomics analysis	1064.H.GVR169 (OTU)
Extract 1064.H.GVR170	DNA Sequencing	metagenomics analysis	1064.H.GVR170 (OTU)
Extract 1064.Royal.Jelly.30	DNA Sequencing	metagenomics analysis	1064.Royal.Jelly.30 (OTU)
Extract 1064.Royal.Jelly.36	DNA Sequencing	metagenomics analysis	1064.Royal.Jelly.36 (OTU)
Extract 1064.Royal.Jelly.P4	DNA Sequencing	metagenomics analysis	1064.Royal.Jelly.P4 (OTU)
Extract 1064.W.CJV177	DNA Sequencing	metagenomics analysis	1064.W.CJV177 (OTU)
Extract 1064.W.CJV178	DNA Sequencing	metagenomics analysis	1064.W.CJV178 (OTU)
Extract 1064.W.CJV179	DNA Sequencing	metagenomics analysis	1064.W.CJV179 (OTU)
Extract 1064.W.CJV180	DNA Sequencing	metagenomics analysis	1064.W.CJV180 (OTU)
Extract 1064.W.CJV181	DNA Sequencing	metagenomics analysis	1064.W.CJV181 (OTU)
Extract 1064.W.CJV182	DNA Sequencing	metagenomics analysis	1064.W.CJV182 (OTU)
Extract 1064.W.CJV183	DNA Sequencing	metagenomics analysis	1064.W.CJV183 (OTU)
Extract 1064.W.CJV184	DNA Sequencing	metagenomics analysis	1064.W.CJV184 (OTU)
Extract 1064.W.CJV185	DNA Sequencing	metagenomics analysis	1064.W.CJV185 (OTU)
Extract 1064.W.CJV186	DNA Sequencing	metagenomics analysis	1064.W.CJV186 (OTU)
Extract 1064.W.CJV187	DNA Sequencing	metagenomics analysis	1064.W.CJV187 (OTU)
Extract 1064.W.CJV188	DNA Sequencing	metagenomics analysis	1064.W.CJV188 (OTU)
Extract 1064.W.CJV215	DNA Sequencing	metagenomics analysis	1064.W.CJV215 (OTU)
Extract 1064.W.CJV216	DNA Sequencing	metagenomics analysis	1064.W.CJV216 (OTU)
Extract 1064.W.CJV217	DNA Sequencing	metagenomics analysis	1064.W.CJV217 (OTU)
Extract 1064.W.CJV218	DNA Sequencing	metagenomics analysis	1064.W.CJV218 (OTU)
Extract 1064.W.CJV219	DNA Sequencing	metagenomics analysis	1064.W.CJV219 (OTU)
Extract 1064.W.CJV220	DNA Sequencing	metagenomics analysis	1064.W.CJV220 (OTU)
Extract 1064.W.CJV221	DNA Sequencing	metagenomics analysis	1064.W.CJV221 (OTU)
Extract 1064.W.CJV222	DNA Sequencing	metagenomics analysis	1064.W.CJV222 (OTU)
Extract 1064.W.CJV223	DNA Sequencing	metagenomics analysis	1064.W.CJV223 (OTU)
Extract 1064.W.CJV224	DNA Sequencing	metagenomics analysis	1064.W.CJV224 (OTU)
Extract 1064.W.CJV225	DNA Sequencing	metagenomics analysis	1064.W.CJV225 (OTU)
Extract 1064.W.CJV226	DNA Sequencing	metagenomics analysis	1064.W.CJV226 (OTU)
Extract 1064.W.CV123	DNA Sequencing	metagenomics analysis	1064.W.CV123 (OTU)
Extract 1064.W.CV124	DNA Sequencing	metagenomics analysis	1064.W.CV124 (OTU)
Extract 1064.W.CV125	DNA Sequencing	metagenomics analysis	1064.W.CV125 (OTU)
Extract 1064.W.CV126	DNA Sequencing	metagenomics analysis	1064.W.CV126 (OTU)
Extract 1064.W.CV127	DNA Sequencing	metagenomics analysis	1064.W.CV127 (OTU)
Extract 1064.W.CV128	DNA Sequencing	metagenomics analysis	1064.W.CV128 (OTU)
Extract 1064.W.CV129	DNA Sequencing	metagenomics analysis	1064.W.CV129 (OTU)
Extract 1064.W.CV130	DNA Sequencing	metagenomics analysis	1064.W.CV130 (OTU)
Extract 1064.W.CV131	DNA Sequencing	metagenomics analysis	1064.W.CV131 (OTU)
Extract 1064.W.CV132	DNA Sequencing	metagenomics analysis	1064.W.CV132 (OTU)
Extract 1064.W.CV133	DNA Sequencing	metagenomics analysis	1064.W.CV133 (OTU)
Extract 1064.W.CV134	DNA Sequencing	metagenomics analysis	1064.W.CV134 (OTU)
Extract 1064.W.CV251	DNA Sequencing	metagenomics analysis	1064.W.CV251 (OTU)
Extract 1064.W.CV252	DNA Sequencing	metagenomics analysis	1064.W.CV252 (OTU)
Extract 1064.W.CV253	DNA Sequencing	metagenomics analysis	1064.W.CV253 (OTU)
Extract 1064.W.CV254	DNA Sequencing	metagenomics analysis	1064.W.CV254 (OTU)
Extract 1064.W.CV255	DNA Sequencing	metagenomics analysis	1064.W.CV255 (OTU)
Extract 1064.W.CV256	DNA Sequencing	metagenomics analysis	1064.W.CV256 (OTU)
Extract 1064.W.CV257	DNA Sequencing	metagenomics analysis	1064.W.CV257 (OTU)
Extract 1064.W.CV258	DNA Sequencing	metagenomics analysis	1064.W.CV258 (OTU)
Extract 1064.W.CV259	DNA Sequencing	metagenomics analysis	1064.W.CV259 (OTU)
Extract 1064.W.CV260	DNA Sequencing	metagenomics analysis	1064.W.CV260 (OTU)
Extract 1064.W.CV261	DNA Sequencing	metagenomics analysis	1064.W.CV261 (OTU)
Extract 1064.W.CV262	DNA Sequencing	metagenomics analysis	1064.W.CV262 (OTU)
Extract 1064.W.CV269	DNA Sequencing	metagenomics analysis	1064.W.CV269 (OTU)
Extract 1064.W.CV270	DNA Sequencing	metagenomics analysis	1064.W.CV270 (OTU)
Extract 1064.W.CV271	DNA Sequencing	metagenomics analysis	1064.W.CV271 (OTU)
Extract 1064.W.CV272	DNA Sequencing	metagenomics analysis	1064.W.CV272 (OTU)
Extract 1064.W.CV273	DNA Sequencing	metagenomics analysis	1064.W.CV273 (OTU)
Extract 1064.W.CV274	DNA Sequencing	metagenomics analysis	1064.W.CV274 (OTU)
Extract 1064.W.CV275	DNA Sequencing	metagenomics analysis	1064.W.CV275 (OTU)
Extract 1064.W.CV276	DNA Sequencing	metagenomics analysis	1064.W.CV276 (OTU)
Extract 1064.W.CV277	DNA Sequencing	metagenomics analysis	1064.W.CV277 (OTU)
Extract 1064.W.CV278	DNA Sequencing	metagenomics analysis	1064.W.CV278 (OTU)
Extract 1064.W.CV279	DNA Sequencing	metagenomics analysis	1064.W.CV279 (OTU)
Extract 1064.W.CV280	DNA Sequencing	metagenomics analysis	1064.W.CV280 (OTU)
Extract 1064.W.CV348	DNA Sequencing	metagenomics analysis	1064.W.CV348 (OTU)
Extract 1064.W.CV349	DNA Sequencing	metagenomics analysis	1064.W.CV349 (OTU)
Extract 1064.W.CV350	DNA Sequencing	metagenomics analysis	1064.W.CV350 (OTU)
Extract 1064.W.CV351	DNA Sequencing	metagenomics analysis	1064.W.CV351 (OTU)
Extract 1064.W.CV352	DNA Sequencing	metagenomics analysis	1064.W.CV352 (OTU)
Extract 1064.W.CV353	DNA Sequencing	metagenomics analysis	1064.W.CV353 (OTU)
Extract 1064.W.CV354	DNA Sequencing	metagenomics analysis	1064.W.CV354 (OTU)
Extract 1064.W.CV355	DNA Sequencing	metagenomics analysis	1064.W.CV355 (OTU)
Extract 1064.W.CV356	DNA Sequencing	metagenomics analysis	1064.W.CV356 (OTU)
Extract 1064.W.CV357	DNA Sequencing	metagenomics analysis	1064.W.CV357 (OTU)
Extract 1064.W.CV358	DNA Sequencing	metagenomics analysis	1064.W.CV358 (OTU)
Extract 1064.W.CV359	DNA Sequencing	metagenomics analysis	1064.W.CV359 (OTU)
