Extract Name	Protocol REF	Protocol REF	Assay Name
Extract 1064.G.CV27	DNA Sequencing	metagenomics analysis	1064.G.CV27 (OTU)
Extract 1064.G.CV281	DNA Sequencing	metagenomics analysis	1064.G.CV281 (OTU)
Extract 1064.G.CV282	DNA Sequencing	metagenomics analysis	1064.G.CV282 (OTU)
Extract 1064.G.CV283	DNA Sequencing	metagenomics analysis	1064.G.CV283 (OTU)
Extract 1064.G.CV284	DNA Sequencing	metagenomics analysis	1064.G.CV284 (OTU)
Extract 1064.G.CV285	DNA Sequencing	metagenomics analysis	1064.G.CV285 (OTU)
Extract 1064.G.CV286	DNA Sequencing	metagenomics analysis	1064.G.CV286 (OTU)
Extract 1064.G.CV287	DNA Sequencing	metagenomics analysis	1064.G.CV287 (OTU)
Extract 1064.G.CV288	DNA Sequencing	metagenomics analysis	1064.G.CV288 (OTU)
Extract 1064.G.CV289	DNA Sequencing	metagenomics analysis	1064.G.CV289 (OTU)
Extract 1064.G.CV290	DNA Sequencing	metagenomics analysis	1064.G.CV290 (OTU)
Extract 1064.G.CV291	DNA Sequencing	metagenomics analysis	1064.G.CV291 (OTU)
Extract 1064.G.CV292	DNA Sequencing	metagenomics analysis	1064.G.CV292 (OTU)
Extract 1064.G.CV293	DNA Sequencing	metagenomics analysis	1064.G.CV293 (OTU)
Extract 1064.G.CV294	DNA Sequencing	metagenomics analysis	1064.G.CV294 (OTU)
Extract 1064.G.CV295	DNA Sequencing	metagenomics analysis	1064.G.CV295 (OTU)
Extract 1064.G.CV296	DNA Sequencing	metagenomics analysis	1064.G.CV296 (OTU)
Extract 1064.G.CV297	DNA Sequencing	metagenomics analysis	1064.G.CV297 (OTU)
Extract 1064.G.CV298	DNA Sequencing	metagenomics analysis	1064.G.CV298 (OTU)
Extract 1064.G.CV299	DNA Sequencing	metagenomics analysis	1064.G.CV299 (OTU)
Extract 1064.G.CV300	DNA Sequencing	metagenomics analysis	1064.G.CV300 (OTU)
Extract 1064.G.CV301	DNA Sequencing	metagenomics analysis	1064.G.CV301 (OTU)
Extract 1064.G.CV302	DNA Sequencing	metagenomics analysis	1064.G.CV302 (OTU)
Extract 1064.G.CV303	DNA Sequencing	metagenomics analysis	1064.G.CV303 (OTU)
