Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Term Source REF	Term Accession Number	Comment [environmental feature]	Comment[subject??]	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Characteristics[OPL_0000232]	Protocol REF	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
Subject 18	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 10/10B	sample collection	EUSTDY0004-1.18	Sample 10/10B	sample from organism	OBI	OBI_0000671	extraction	Extract 10/10B	DNA extract	OBI	OBI_0001051
Subject 19	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	Alejandro Miguel Katzin	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 10_54	sample collection	EUSTDY0004-1.19	Sample 10_54	sample from organism	OBI	OBI_0000671	extraction	Extract 10_54	DNA extract	OBI	OBI_0001051
Subject 20	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	Alejandro Miguel Katzin	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 207_89	sample collection	EUSTDY0004-1.20	Sample 207_89	sample from organism	OBI	OBI_0000671	extraction	Extract 207_89	DNA extract	OBI	OBI_0001051
Subject 21	host organism	GO	GO_0018995	Nigeria	GAZ	http://purl.obolibrary.org/obo/GAZ_00000912	Christian Happi	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 35_26	sample collection	EUSTDY0004-1.21	Sample 35_26	sample from organism	OBI	OBI_0000671	extraction	Extract 35_26	DNA extract	OBI	OBI_0001051
Subject 22	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	Alejandro Miguel Katzin	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 36_89	sample collection	EUSTDY0004-1.22	Sample 36_89	sample from organism	OBI	OBI_0000671	extraction	Extract 36_89	DNA extract	OBI	OBI_0001051
Subject 23	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	Alejandro Miguel Katzin	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 365_89	sample collection	EUSTDY0004-1.23	Sample 365_89	sample from organism	OBI	OBI_0000671	extraction	Extract 365_89	DNA extract	OBI	OBI_0001051
Subject 24	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	Alejandro Miguel Katzin	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 9_411	sample collection	EUSTDY0004-1.24	Sample 9_411	sample from organism	OBI	OBI_0000671	extraction	Extract 9_411	DNA extract	OBI	OBI_0001051
Subject 25	host organism	GO	GO_0018995	Nigeria	GAZ	http://purl.obolibrary.org/obo/GAZ_00000912	Christian Happi	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum APO41	sample collection	EUSTDY0004-1.25	Sample APO41	sample from organism	OBI	OBI_0000671	extraction	Extract APO41	DNA extract	OBI	OBI_0001051
Subject 26	host organism	GO	GO_0018995	China	GAZ	http://purl.obolibrary.org/obo/GAZ_00002845	MRA-733	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum FCC-2	sample collection	EUSTDY0004-1.26	Sample FCC-2	sample from organism	OBI	OBI_0000671	extraction	Extract FCC-2	DNA extract	OBI	OBI_0001051
Subject 27	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	Dennis Kyle	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum GH2	sample collection	EUSTDY0004-1.27	Sample GH2	sample from organism	OBI	OBI_0000671	extraction	Extract GH2	DNA extract	OBI	OBI_0001051
Subject 28	host organism	GO	GO_0018995	India	GAZ	http://purl.obolibrary.org/obo/GAZ_00002839	A. Dash/C.Chitnis	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum IGHCR14	sample collection	EUSTDY0004-1.28	Sample IGHCR14	sample from organism	OBI	OBI_0000671	extraction	Extract IGHCR14	DNA extract	OBI	OBI_0001051
