Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Term Source REF	Term Accession Number	Comment [environmental feature]	Comment[subject??]	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Characteristics[OPL_0000232]	Protocol REF	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
Subject 68	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	MRA-206	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM91C235	sample collection	EUSTDY0004-1.68	Sample TM91C235	sample from organism	OBI	OBI_0000671	extraction	Extract TM91C235	DNA extract	OBI	OBI_0001051
Subject 69	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	Sandra do Lago Moraes	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum JST	sample collection	EUSTDY0004-1.69	Sample JST	sample from organism	OBI	OBI_0000671	extraction	Extract JST	DNA extract	OBI	OBI_0001051
Subject 70	host organism	GO	GO_0018995	Sudan	GAZ	http://purl.obolibrary.org/obo/GAZ_00000560	MRA-464	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 106/1	sample collection	EUSTDY0004-1.70	Sample 106/1	sample from organism	OBI	OBI_0000671	extraction	Extract 106/1	DNA extract	OBI	OBI_0001051
Subject 71	host organism	GO	GO_0018995	Southeast Asia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000559	MRA-309	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum FCB	sample collection	EUSTDY0004-1.71	Sample FCB	sample from organism	OBI	OBI_0000671	extraction	Extract FCB	DNA extract	OBI	OBI_0001051
Subject 72	host organism	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	MRA-158	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum FCR3	sample collection	EUSTDY0004-1.72	Sample FCR3	sample from organism	OBI	OBI_0000671	extraction	Extract FCR3	DNA extract	OBI	OBI_0001051
Subject 73	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	MRA-326	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum ITG-2G2	sample collection	EUSTDY0004-1.73	Sample ITG-2G2	sample from organism	OBI	OBI_0000671	extraction	Extract ITG-2G2	DNA extract	OBI	OBI_0001051
Subject 74	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	MRA-153	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum T9-94	sample collection	EUSTDY0004-1.74	Sample T9-94	sample from organism	OBI	OBI_0000671	extraction	Extract T9-94	DNA extract	OBI	OBI_0001051
Subject 75	host organism	GO	GO_0018995	Indochina	GAZ	http://purl.obolibrary.org/obo/GAZ_00000859	MRA-157	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum W2	sample collection	EUSTDY0004-1.75	Sample W2	sample from organism	OBI	OBI_0000671	extraction	Extract W2	DNA extract	OBI	OBI_0001051
Subject 76	host organism	GO	GO_0018995	Indochina	GAZ	http://purl.obolibrary.org/obo/GAZ_00000859	Dennis Kyle	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum W2mef	sample collection	EUSTDY0004-1.76	Sample W2mef	sample from organism	OBI	OBI_0000671	extraction	Extract W2mef	DNA extract	OBI	OBI_0001051
Subject 77	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	MRA-204	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM90C6A	sample collection	EUSTDY0004-1.77	Sample TM90C6A	sample from organism	OBI	OBI_0000671	extraction	Extract TM90C6A	DNA extract	OBI	OBI_0001051
Subject 78	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	MRA-207	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM91C1088	sample collection	EUSTDY0004-1.78	Sample TM91C1088	sample from organism	OBI	OBI_0000671	extraction	Extract TM91C1088	DNA extract	OBI	OBI_0001051
Subject 79	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	Sandra do Lago Moraes	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum ADA-2	sample collection	EUSTDY0004-1.79	Sample ADA-2	sample from organism	OBI	OBI_0000671	extraction	Extract ADA-2	DNA extract	OBI	OBI_0001051
Subject 80	host organism	GO	GO_0018995	Mali	GAZ	http://purl.obolibrary.org/obo/GAZ_00000584	MRA-822	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum MT/s1	sample collection	EUSTDY0004-1.80	Sample MT/s1	sample from organism	OBI	OBI_0000671	extraction	Extract MT/s1	DNA extract	OBI	OBI_0001051
Subject 81	host organism	GO	GO_0018995	Vietnam	GAZ	http://purl.obolibrary.org/obo/GAZ_00003756	MRA-284	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum WR87	sample collection	EUSTDY0004-1.81	Sample WR87	sample from organism	OBI	OBI_0000671	extraction	Extract WR87	DNA extract	OBI	OBI_0001051
Subject 82	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	Alejandro Miguel Katzin	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 330_89	sample collection	EUSTDY0004-1.82	Sample 330_89	sample from organism	OBI	OBI_0000671	extraction	Extract 330_89	DNA extract	OBI	OBI_0001051
Subject 83	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	Alejandro Miguel Katzin	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 608_88	sample collection	EUSTDY0004-1.83	Sample 608_88	sample from organism	OBI	OBI_0000671	extraction	Extract 608_88	DNA extract	OBI	OBI_0001051
Subject 84	host organism	GO	GO_0018995	Nigeria	GAZ	http://purl.obolibrary.org/obo/GAZ_00000912	Christian Happi	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum APO-42	sample collection	EUSTDY0004-1.84	Sample APO-42	sample from organism	OBI	OBI_0000671	extraction	Extract APO-42	DNA extract	OBI	OBI_0001051
Subject 85	host organism	GO	GO_0018995	Nigeria	GAZ	http://purl.obolibrary.org/obo/GAZ_00000912	Christian Happi	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum CH3	sample collection	EUSTDY0004-1.85	Sample CH3	sample from organism	OBI	OBI_0000671	extraction	Extract CH3	DNA extract	OBI	OBI_0001051
Subject 86	host organism	GO	GO_0018995	Nigeria	GAZ	http://purl.obolibrary.org/obo/GAZ_00000912	Christian Happi	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum CH4	sample collection	EUSTDY0004-1.86	Sample CH4	sample from organism	OBI	OBI_0000671	extraction	Extract CH4	DNA extract	OBI	OBI_0001051
Subject 87	host organism	GO	GO_0018995	China	GAZ	http://purl.obolibrary.org/obo/GAZ_00002845	MRA-732	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum FCR8	sample collection	EUSTDY0004-1.87	Sample FCR8	sample from organism	OBI	OBI_0000671	extraction	Extract FCR8	DNA extract	OBI	OBI_0001051
Subject 88	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi 2257/10H	sample collection	EUSTDY0004-1.88	Sample Malawi 2257/10H	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi 2257/10H	DNA extract	OBI	OBI_0001051
Subject 89	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi CF04.008	sample collection	EUSTDY0004-1.89	Sample Malawi CF04.008	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi CF04.008	DNA extract	OBI	OBI_0001051
Subject 90	host organism	GO	GO_0018995	Mali	GAZ	http://purl.obolibrary.org/obo/GAZ_00000584	A. Djimde/C. Plowe	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Mali PS149	sample collection	EUSTDY0004-1.90	Sample Mali PS149	sample from organism	OBI	OBI_0000671	extraction	Extract Mali PS149	DNA extract	OBI	OBI_0001051
Subject 91	host organism	GO	GO_0018995	Mali	GAZ	http://purl.obolibrary.org/obo/GAZ_00000584	A. Djimde/C. Plowe	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Mali PS186	sample collection	EUSTDY0004-1.91	Sample Mali PS186	sample from organism	OBI	OBI_0000671	extraction	Extract Mali PS186	DNA extract	OBI	OBI_0001051
Subject 92	host organism	GO	GO_0018995	Mali	GAZ	http://purl.obolibrary.org/obo/GAZ_00000584	A. Djimde/C. Plowe	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Mali PS206	sample collection	EUSTDY0004-1.92	Sample Mali PS206	sample from organism	OBI	OBI_0000671	extraction	Extract Mali PS206	DNA extract	OBI	OBI_0001051
Subject 93	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P06.02	sample collection	EUSTDY0004-1.93	Sample Senegal P06.02	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P06.02	DNA extract	OBI	OBI_0001051
Subject 94	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P121.05	sample collection	EUSTDY0004-1.94	Sample Senegal P121.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P121.05	DNA extract	OBI	OBI_0001051
Subject 95	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P136.05	sample collection	EUSTDY0004-1.95	Sample Senegal P136.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P136.05	DNA extract	OBI	OBI_0001051
Subject 96	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P139.05	sample collection	EUSTDY0004-1.96	Sample Senegal P139.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P139.05	DNA extract	OBI	OBI_0001051
Subject 97	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P18.02	sample collection	EUSTDY0004-1.97	Sample Senegal P18.02	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P18.02	DNA extract	OBI	OBI_0001051
Subject 98	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P21.05	sample collection	EUSTDY0004-1.98	Sample Senegal P21.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P21.05	DNA extract	OBI	OBI_0001051
Subject 99	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P47.05	sample collection	EUSTDY0004-1.99	Sample Senegal P47.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P47.05	DNA extract	OBI	OBI_0001051
Subject 100	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P69.05	sample collection	EUSTDY0004-1.100	Sample Senegal P69.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P69.05	DNA extract	OBI	OBI_0001051
Subject 101	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P75.05	sample collection	EUSTDY0004-1.101	Sample Senegal P75.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P75.05	DNA extract	OBI	OBI_0001051
Subject 102	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal Thi10.04	sample collection	EUSTDY0004-1.102	Sample Senegal Thi10.04	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal Thi10.04	DNA extract	OBI	OBI_0001051
Subject 103	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal V127.05	sample collection	EUSTDY0004-1.103	Sample Senegal V127.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal V127.05	DNA extract	OBI	OBI_0001051
Subject 104	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	J. Daily	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal V56.04	sample collection	EUSTDY0004-1.104	Sample Senegal V56.04	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal V56.04	DNA extract	OBI	OBI_0001051
Subject 105	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal V64.05	sample collection	EUSTDY0004-1.105	Sample Senegal V64.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal V64.05	DNA extract	OBI	OBI_0001051
Subject 106	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal V83.05	sample collection	EUSTDY0004-1.106	Sample Senegal V83.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal V83.05	DNA extract	OBI	OBI_0001051
Subject 107	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum T116	sample collection	EUSTDY0004-1.107	Sample T116	sample from organism	OBI	OBI_0000671	extraction	Extract T116	DNA extract	OBI	OBI_0001051
Subject 108	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TD194	sample collection	EUSTDY0004-1.108	Sample TD194	sample from organism	OBI	OBI_0000671	extraction	Extract TD194	DNA extract	OBI	OBI_0001051
Subject 109	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM335	sample collection	EUSTDY0004-1.109	Sample TM335	sample from organism	OBI	OBI_0000671	extraction	Extract TM335	DNA extract	OBI	OBI_0001051
Subject 110	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM336	sample collection	EUSTDY0004-1.110	Sample TM336	sample from organism	OBI	OBI_0000671	extraction	Extract TM336	DNA extract	OBI	OBI_0001051
Subject 111	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM343	sample collection	EUSTDY0004-1.111	Sample TM343	sample from organism	OBI	OBI_0000671	extraction	Extract TM343	DNA extract	OBI	OBI_0001051
Subject 112	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM346	sample collection	EUSTDY0004-1.112	Sample TM346	sample from organism	OBI	OBI_0000671	extraction	Extract TM346	DNA extract	OBI	OBI_0001051
Subject 113	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM347	sample collection	EUSTDY0004-1.113	Sample TM347	sample from organism	OBI	OBI_0000671	extraction	Extract TM347	DNA extract	OBI	OBI_0001051
Subject 114	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	M	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM4-C8-2	sample collection	EUSTDY0004-1.114	Sample TM4-C8-2	sample from organism	OBI	OBI_0000671	extraction	Extract TM4-C8-2	DNA extract	OBI	OBI_0001051
