Sample Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Protocol REF	Data Transformation Name
ERS010116	DNA extraction	DNA Sequencing	ERS010116 DNASeq Assay	data collection	sequence analysis data transformation	RV_3606 (Sequence Variation)
ERS010126	DNA extraction	DNA Sequencing	ERS010126 DNASeq Assay	data collection	sequence analysis data transformation	RV_3614 (Sequence Variation)
ERS010043	DNA extraction	DNA Sequencing	ERS010043 DNASeq Assay	data collection	sequence analysis data transformation	RV_3642 (Sequence Variation)
ERS010127	DNA extraction	DNA Sequencing	ERS010127 DNASeq Assay	data collection	sequence analysis data transformation	RV_3650 (Sequence Variation)
ERS010044	DNA extraction	DNA Sequencing	ERS010044 DNASeq Assay	data collection	sequence analysis data transformation	RV_3687 (Sequence Variation)
ERS010045	DNA extraction	DNA Sequencing	ERS010045 DNASeq Assay	data collection	sequence analysis data transformation	RV_3701 (Sequence Variation)
ERS010128	DNA extraction	DNA Sequencing	ERS010128 DNASeq Assay	data collection	sequence analysis data transformation	RV_3703 (Sequence Variation)
ERS010046	DNA extraction	DNA Sequencing	ERS010046 DNASeq Assay	data collection	sequence analysis data transformation	RV_3714 (Sequence Variation)
ERS010047	DNA extraction	DNA Sequencing	ERS010047 DNASeq Assay	data collection	sequence analysis data transformation	RV_3735 (Sequence Variation)
ERS010048	DNA extraction	DNA Sequencing	ERS010048 DNASeq Assay	data collection	sequence analysis data transformation	RV_3737 (Sequence Variation)
ERS010129	DNA extraction	DNA Sequencing	ERS010129 DNASeq Assay	data collection	sequence analysis data transformation	RV_3740 (Sequence Variation)
ERS011006	DNA extraction	DNA Sequencing	ERS011006 DNASeq Assay	data collection	sequence analysis data transformation	RV_3766 (Sequence Variation)
ERS010049	DNA extraction	DNA Sequencing	ERS010049 DNASeq Assay	data collection	sequence analysis data transformation	RV_3600 (Sequence Variation)
ERS010038	DNA extraction	DNA Sequencing	ERS010038 DNASeq Assay	data collection	sequence analysis data transformation	RV_3610 (Sequence Variation)
ERS009726	DNA extraction	DNA Sequencing	ERS009726 DNASeq Assay	data collection	sequence analysis data transformation	RV_3611 (Sequence Variation)
ERS010130	DNA extraction	DNA Sequencing	ERS010130 DNASeq Assay	data collection	sequence analysis data transformation	RV_3630 (Sequence Variation)
ERS010117	DNA extraction	DNA Sequencing	ERS010117 DNASeq Assay	data collection	sequence analysis data transformation	RV_3635 (Sequence Variation)
ERS010039	DNA extraction	DNA Sequencing	ERS010039 DNASeq Assay	data collection	sequence analysis data transformation	RV_3637 (Sequence Variation)
ERS010040	DNA extraction	DNA Sequencing	ERS010040 DNASeq Assay	data collection	sequence analysis data transformation	RV_3655 (Sequence Variation)
ERS010041	DNA extraction	DNA Sequencing	ERS010041 DNASeq Assay	data collection	sequence analysis data transformation	RV_3671 (Sequence Variation)
ERS009729	DNA extraction	DNA Sequencing	ERS009729 DNASeq Assay	data collection	sequence analysis data transformation	RV_3672 (Sequence Variation)
ERS009966	DNA extraction	DNA Sequencing	ERS009966 DNASeq Assay	data collection	sequence analysis data transformation	RV_3673 (Sequence Variation)
ERS010118	DNA extraction	DNA Sequencing	ERS010118 DNASeq Assay	data collection	sequence analysis data transformation	RV_3675 (Sequence Variation)
ERS010119	DNA extraction	DNA Sequencing	ERS010119 DNASeq Assay	data collection	sequence analysis data transformation	RV_3695 (Sequence Variation)
ERS010120	DNA extraction	DNA Sequencing	ERS010120 DNASeq Assay	data collection	sequence analysis data transformation	RV_3696 (Sequence Variation)
ERS009731	DNA extraction	DNA Sequencing	ERS009731 DNASeq Assay	data collection	sequence analysis data transformation	RV_3702 (Sequence Variation)
ERS009732	DNA extraction	DNA Sequencing	ERS009732 DNASeq Assay	data collection	sequence analysis data transformation	RV_3708 (Sequence Variation)
ERS009733	DNA extraction	DNA Sequencing	ERS009733 DNASeq Assay	data collection	sequence analysis data transformation	RV_3717 (Sequence Variation)
ERS010113	DNA extraction	DNA Sequencing	ERS010113 DNASeq Assay	data collection	sequence analysis data transformation	RV_3721 (Sequence Variation)
ERS010071	DNA extraction	DNA Sequencing	ERS010071 DNASeq Assay	data collection	sequence analysis data transformation	RV_3729 (Sequence Variation)
ERS009669	DNA extraction	DNA Sequencing	ERS009669 DNASeq Assay	data collection	sequence analysis data transformation	RV_3730 (Sequence Variation)
ERS011004	DNA extraction	DNA Sequencing	ERS011004 DNASeq Assay	data collection	sequence analysis data transformation	RV_3731 (Sequence Variation)
ERS010070	DNA extraction	DNA Sequencing	ERS010070 DNASeq Assay	data collection	sequence analysis data transformation	RV_3736 (Sequence Variation)
ERS009967	DNA extraction	DNA Sequencing	ERS009967 DNASeq Assay	data collection	sequence analysis data transformation	RV_3739 (Sequence Variation)
ERS011013	DNA extraction	DNA Sequencing	ERS011013 DNASeq Assay	data collection	sequence analysis data transformation	RV_3741 (Sequence Variation)
ERS011002	DNA extraction	DNA Sequencing	ERS011002 DNASeq Assay	data collection	sequence analysis data transformation	RV_3764 (Sequence Variation)
ERS011016	DNA extraction	DNA Sequencing	ERS011016 DNASeq Assay	data collection	sequence analysis data transformation	RV_3769 (Sequence Variation)
ERS011009	DNA extraction	DNA Sequencing	ERS011009 DNASeq Assay	data collection	sequence analysis data transformation	BM_0009 (Sequence Variation)
ERS009670	DNA extraction	DNA Sequencing	ERS009670 DNASeq Assay	data collection	sequence analysis data transformation	BM_0008 (Sequence Variation)
