Sample Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Protocol REF	Data Transformation Name
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30101099036 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30101099038 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30101099040 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100437 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100439 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100440 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100445 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100446 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100448 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100449 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100485 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100486 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100487 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100488 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100489 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100490 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100491 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100492 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100493 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100504 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30103103280 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30103103295 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30111110015 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30111110020 (Sequence Variation)
